bin_center,ratio,ratio_err,variable,pt_bin_center
0.455,0.864231,0.061562,z,0.05
0.465,0.743262,0.040806,z,0.05
0.475,0.745975,0.034918,z,0.05
0.485,0.737062,0.032566,z,0.05
0.495,0.680287,0.031083,z,0.05
0.505,0.649133,0.030198,z,0.05
0.515,0.653417,0.031722,z,0.05
0.525,0.680559,0.031767,z,0.05
0.535,0.665688,0.032502,z,0.05
0.545,0.699183,0.033628,z,0.05
0.555,0.698111,0.034763,z,0.05
0.565,0.723361,0.035362,z,0.05
0.575,0.741672,0.036789,z,0.05
0.585,0.776825,0.03781,z,0.05
0.595,0.725098,0.037738,z,0.05
0.605,0.609759,0.036226,z,0.05
0.615,0.677868,0.043738,z,0.05
0.625,0.649221,0.051629,z,0.05
0.635,0.755894,0.073578,z,0.05
0.645,0.485646,0.087149,z,0.05
0.655,0.208513,0.147693,z,0.05
0.05,0.751116,0.113183,$\theta_{pq}$,0.05
0.15,0.625804,0.060571,$\theta_{pq}$,0.05
0.25,0.692689,0.05049,$\theta_{pq}$,0.05
0.35,0.688467,0.042575,$\theta_{pq}$,0.05
0.45,0.661305,0.037059,$\theta_{pq}$,0.05
0.55,0.685696,0.033386,$\theta_{pq}$,0.05
0.65,0.653191,0.031859,$\theta_{pq}$,0.05
0.75,0.714725,0.031213,$\theta_{pq}$,0.05
0.85,0.686767,0.02916,$\theta_{pq}$,0.05
0.95,0.675456,0.027734,$\theta_{pq}$,0.05
1.05,0.695697,0.027935,$\theta_{pq}$,0.05
1.15,0.680192,0.027156,$\theta_{pq}$,0.05
1.25,0.723681,0.027513,$\theta_{pq}$,0.05
1.35,0.781567,0.029535,$\theta_{pq}$,0.05
1.45,0.73716,0.034136,$\theta_{pq}$,0.05
1.55,0.73957,0.044623,$\theta_{pq}$,0.05
1.65,0.789783,0.06585,$\theta_{pq}$,0.05
1.75,1.279261,0.245847,$\theta_{pq}$,0.05
0.005,0.650529,0.070878,$p_T$,0.05
0.015,0.67899,0.042812,$p_T$,0.05
0.025,0.716893,0.03412,$p_T$,0.05
0.035,0.643008,0.027418,$p_T$,0.05
0.045,0.711648,0.026101,$p_T$,0.05
0.055,0.672089,0.024014,$p_T$,0.05
0.065,0.675296,0.022765,$p_T$,0.05
0.075,0.723466,0.02266,$p_T$,0.05
0.085,0.740629,0.022076,$p_T$,0.05
0.095,0.74205,0.022445,$p_T$,0.05
0.0499,0.827282,0.065183,$\phi_{pq}$,0.05
0.1496,0.668316,0.06234,$\phi_{pq}$,0.05
0.2493,0.562734,0.060942,$\phi_{pq}$,0.05
0.3491,0.687096,0.062584,$\phi_{pq}$,0.05
0.4488,0.736246,0.062328,$\phi_{pq}$,0.05
0.5485,0.766432,0.061981,$\phi_{pq}$,0.05
0.6483,0.802995,0.06159,$\phi_{pq}$,0.05
0.748,0.530611,0.057558,$\phi_{pq}$,0.05
0.8477,0.723995,0.063182,$\phi_{pq}$,0.05
0.9475,0.702306,0.062667,$\phi_{pq}$,0.05
1.0472,0.734733,0.06306,$\phi_{pq}$,0.05
1.1469,0.579624,0.062442,$\phi_{pq}$,0.05
1.2467,0.691471,0.064283,$\phi_{pq}$,0.05
1.3464,0.702824,0.063572,$\phi_{pq}$,0.05
1.4461,0.763448,0.065633,$\phi_{pq}$,0.05
1.5459,0.680583,0.065991,$\phi_{pq}$,0.05
1.6456,0.639408,0.063872,$\phi_{pq}$,0.05
1.7453,0.677576,0.065519,$\phi_{pq}$,0.05
1.8451,0.738053,0.071065,$\phi_{pq}$,0.05
1.9448,0.653889,0.067469,$\phi_{pq}$,0.05
2.0445,0.708036,0.071974,$\phi_{pq}$,0.05
2.1443,0.598492,0.068482,$\phi_{pq}$,0.05
2.244,0.693205,0.075367,$\phi_{pq}$,0.05
2.3437,0.691686,0.075265,$\phi_{pq}$,0.05
2.4435,0.716958,0.077516,$\phi_{pq}$,0.05
2.5432,0.63989,0.07494,$\phi_{pq}$,0.05
2.6429,0.708844,0.082578,$\phi_{pq}$,0.05
2.7427,0.643618,0.075707,$\phi_{pq}$,0.05
2.8424,0.744265,0.083032,$\phi_{pq}$,0.05
2.9421,0.627888,0.07699,$\phi_{pq}$,0.05
3.0419,0.734405,0.08475,$\phi_{pq}$,0.05
3.1416,0.611329,0.080196,$\phi_{pq}$,0.05
3.2413,0.666224,0.081362,$\phi_{pq}$,0.05
3.3411,0.640283,0.081361,$\phi_{pq}$,0.05
3.4408,0.650647,0.082331,$\phi_{pq}$,0.05
3.5405,0.682666,0.07683,$\phi_{pq}$,0.05
3.6403,0.746331,0.076017,$\phi_{pq}$,0.05
3.74,0.802769,0.078974,$\phi_{pq}$,0.05
3.8397,0.705657,0.075601,$\phi_{pq}$,0.05
3.9395,0.708013,0.075374,$\phi_{pq}$,0.05
4.0392,0.613584,0.067791,$\phi_{pq}$,0.05
4.1389,0.707642,0.066361,$\phi_{pq}$,0.05
4.2387,0.732081,0.070805,$\phi_{pq}$,0.05
4.3384,0.855929,0.071099,$\phi_{pq}$,0.05
4.4381,0.666828,0.064926,$\phi_{pq}$,0.05
4.5379,0.707817,0.066322,$\phi_{pq}$,0.05
4.6376,0.745395,0.064937,$\phi_{pq}$,0.05
4.7373,0.6626,0.059923,$\phi_{pq}$,0.05
4.8371,0.773004,0.062704,$\phi_{pq}$,0.05
4.9368,0.789962,0.061963,$\phi_{pq}$,0.05
5.0365,0.694044,0.060028,$\phi_{pq}$,0.05
5.1363,0.594552,0.056696,$\phi_{pq}$,0.05
5.236,0.792307,0.061464,$\phi_{pq}$,0.05
5.3357,0.789223,0.061986,$\phi_{pq}$,0.05
5.4355,0.792308,0.062813,$\phi_{pq}$,0.05
5.5352,0.69971,0.060482,$\phi_{pq}$,0.05
5.6349,0.685222,0.058867,$\phi_{pq}$,0.05
5.7347,0.694606,0.061258,$\phi_{pq}$,0.05
5.8344,0.727433,0.06217,$\phi_{pq}$,0.05
5.9341,0.682991,0.058795,$\phi_{pq}$,0.05
6.0339,0.743383,0.062168,$\phi_{pq}$,0.05
6.1336,0.761755,0.064059,$\phi_{pq}$,0.05
6.2333,0.720394,0.062452,$\phi_{pq}$,0.05
0.455,1.059866,0.082642,z,0.15
0.465,1.01545,0.053433,z,0.15
0.475,0.972254,0.040874,z,0.15
0.485,0.881731,0.034834,z,0.15
0.495,0.805622,0.032272,z,0.15
0.505,0.756972,0.032221,z,0.15
0.515,0.736555,0.031687,z,0.15
0.525,0.791286,0.03222,z,0.15
0.535,0.715398,0.031946,z,0.15
0.545,0.731427,0.032977,z,0.15
0.555,0.87236,0.035587,z,0.15
0.565,0.756342,0.035316,z,0.15
0.575,0.737603,0.034279,z,0.15
0.585,0.817405,0.035608,z,0.15
0.595,0.770795,0.036617,z,0.15
0.605,0.797913,0.037154,z,0.15
0.615,0.690914,0.040229,z,0.15
0.625,0.667596,0.047137,z,0.15
0.635,0.615916,0.056743,z,0.15
0.645,0.50275,0.074516,z,0.15
0.655,0.209809,0.107794,z,0.15
1.35,0.587884,0.066589,$\theta_{pq}$,0.15
1.45,0.68715,0.04287,$\theta_{pq}$,0.15
1.55,0.766094,0.035584,$\theta_{pq}$,0.15
1.65,0.750497,0.030988,$\theta_{pq}$,0.15
1.75,0.765546,0.02837,$\theta_{pq}$,0.15
1.85,0.746219,0.029148,$\theta_{pq}$,0.15
1.95,0.769117,0.029495,$\theta_{pq}$,0.15
2.05,0.753817,0.030797,$\theta_{pq}$,0.15
2.15,0.76146,0.031514,$\theta_{pq}$,0.15
2.25,0.879232,0.033629,$\theta_{pq}$,0.15
2.35,0.779966,0.033822,$\theta_{pq}$,0.15
2.45,0.829384,0.036176,$\theta_{pq}$,0.15
2.55,0.763124,0.036577,$\theta_{pq}$,0.15
