bin_center,ratio,ratio_err,variable,pt_bin_center
2.65,0.860773,0.040284,$\theta_{pq}$,0.15
2.75,0.880572,0.046233,$\theta_{pq}$,0.15
2.85,0.870476,0.051016,$\theta_{pq}$,0.15
2.95,1.012537,0.059918,$\theta_{pq}$,0.15
3.05,0.966202,0.068907,$\theta_{pq}$,0.15
3.15,0.833799,0.081216,$\theta_{pq}$,0.15
3.25,0.877133,0.101649,$\theta_{pq}$,0.15
3.35,1.02802,0.144654,$\theta_{pq}$,0.15
0.105,0.765289,0.02274,$p_T$,0.15
0.115,0.751528,0.023114,$p_T$,0.15
0.125,0.734432,0.023686,$p_T$,0.15
0.135,0.808317,0.025406,$p_T$,0.15
0.145,0.808509,0.025942,$p_T$,0.15
0.155,0.823687,0.027964,$p_T$,0.15
0.165,0.828577,0.029559,$p_T$,0.15
0.175,0.852588,0.032057,$p_T$,0.15
0.185,0.841869,0.034454,$p_T$,0.15
0.195,0.860677,0.037744,$p_T$,0.15
0.0499,0.924614,0.073474,$\phi_{pq}$,0.15
0.1496,0.866184,0.071555,$\phi_{pq}$,0.15
0.2493,0.891234,0.070015,$\phi_{pq}$,0.15
0.3491,0.856963,0.067075,$\phi_{pq}$,0.15
0.4488,1.007104,0.068083,$\phi_{pq}$,0.15
0.5485,0.786882,0.061645,$\phi_{pq}$,0.15
0.6483,0.899868,0.062112,$\phi_{pq}$,0.15
0.748,0.804248,0.057854,$\phi_{pq}$,0.15
0.8477,0.817087,0.054867,$\phi_{pq}$,0.15
0.9475,0.803601,0.054412,$\phi_{pq}$,0.15
1.0472,0.748736,0.051128,$\phi_{pq}$,0.15
1.1469,0.725164,0.051538,$\phi_{pq}$,0.15
1.2467,0.737875,0.05119,$\phi_{pq}$,0.15
1.3464,0.660025,0.051026,$\phi_{pq}$,0.15
1.4461,0.710508,0.052429,$\phi_{pq}$,0.15
1.5459,0.733145,0.055248,$\phi_{pq}$,0.15
1.6456,0.716138,0.058134,$\phi_{pq}$,0.15
1.7453,0.738499,0.060332,$\phi_{pq}$,0.15
1.8451,0.740757,0.068895,$\phi_{pq}$,0.15
1.9448,0.675635,0.073754,$\phi_{pq}$,0.15
2.0445,0.70943,0.080757,$\phi_{pq}$,0.15
2.1443,0.729128,0.094459,$\phi_{pq}$,0.15
2.244,0.748003,0.09855,$\phi_{pq}$,0.15
2.3437,0.829639,0.114038,$\phi_{pq}$,0.15
2.4435,0.587815,0.11329,$\phi_{pq}$,0.15
2.5432,0.624005,0.138535,$\phi_{pq}$,0.15
2.6429,0.564368,0.130221,$\phi_{pq}$,0.15
2.7427,0.804587,0.16492,$\phi_{pq}$,0.15
2.8424,0.700965,0.157669,$\phi_{pq}$,0.15
2.9421,0.808134,0.170692,$\phi_{pq}$,0.15
3.0419,0.79826,0.166193,$\phi_{pq}$,0.15
3.1416,0.814902,0.166852,$\phi_{pq}$,0.15
3.2413,0.878908,0.171047,$\phi_{pq}$,0.15
3.3411,0.75663,0.150599,$\phi_{pq}$,0.15
3.4408,0.729299,0.145076,$\phi_{pq}$,0.15
3.5405,0.793563,0.13933,$\phi_{pq}$,0.15
3.6403,0.652041,0.124798,$\phi_{pq}$,0.15
3.74,0.442906,0.102779,$\phi_{pq}$,0.15
3.8397,0.821161,0.110647,$\phi_{pq}$,0.15
3.9395,0.741173,0.096693,$\phi_{pq}$,0.15
4.0392,0.736529,0.091147,$\phi_{pq}$,0.15
4.1389,0.711093,0.08196,$\phi_{pq}$,0.15
4.2387,0.739142,0.071134,$\phi_{pq}$,0.15
4.3384,0.834847,0.067828,$\phi_{pq}$,0.15
4.4381,0.718378,0.05983,$\phi_{pq}$,0.15
4.5379,0.832787,0.059298,$\phi_{pq}$,0.15
4.6376,0.733565,0.054049,$\phi_{pq}$,0.15
4.7373,0.749882,0.051114,$\phi_{pq}$,0.15
4.8371,0.736683,0.048231,$\phi_{pq}$,0.15
4.9368,0.749052,0.04649,$\phi_{pq}$,0.15
5.0365,0.749972,0.045216,$\phi_{pq}$,0.15
5.1363,0.748894,0.047048,$\phi_{pq}$,0.15
5.236,0.868868,0.049345,$\phi_{pq}$,0.15
5.3357,0.729152,0.048659,$\phi_{pq}$,0.15
5.4355,0.850541,0.052192,$\phi_{pq}$,0.15
5.5352,0.854733,0.054897,$\phi_{pq}$,0.15
5.6349,0.798354,0.056729,$\phi_{pq}$,0.15
5.7347,0.889974,0.060646,$\phi_{pq}$,0.15
5.8344,0.85735,0.062989,$\phi_{pq}$,0.15
5.9341,0.931839,0.067332,$\phi_{pq}$,0.15
6.0339,0.866747,0.067657,$\phi_{pq}$,0.15
6.1336,0.82771,0.067922,$\phi_{pq}$,0.15
6.2333,1.143781,0.074727,$\phi_{pq}$,0.15
0.465,1.476134,0.174722,z,0.25
0.475,1.215656,0.124098,z,0.25
0.485,1.247519,0.102609,z,0.25
0.495,0.891866,0.083313,z,0.25
0.505,0.937116,0.083156,z,0.25
0.515,0.983025,0.079268,z,0.25
0.525,0.912209,0.077586,z,0.25
0.535,0.99916,0.082809,z,0.25
0.545,0.991464,0.082354,z,0.25
0.555,0.965431,0.080786,z,0.25
0.565,0.822683,0.080212,z,0.25
0.575,0.940256,0.082193,z,0.25
0.585,0.911245,0.083341,z,0.25
0.595,0.943878,0.082226,z,0.25
0.605,0.991403,0.087529,z,0.25
0.615,1.010091,0.094267,z,0.25
0.625,0.738921,0.099309,z,0.25
0.635,0.911776,0.121162,z,0.25
0.645,0.692075,0.13222,z,0.25
0.655,0.426323,0.19371,z,0.25
2.65,0.447143,0.143761,$\theta_{pq}$,0.25
2.75,0.891714,0.108379,$\theta_{pq}$,0.25
2.85,0.929802,0.090129,$\theta_{pq}$,0.25
2.95,0.785769,0.075215,$\theta_{pq}$,0.25
3.05,0.967062,0.07606,$\theta_{pq}$,0.25
3.15,0.924048,0.070835,$\theta_{pq}$,0.25
3.25,0.980147,0.068868,$\theta_{pq}$,0.25
3.35,0.923541,0.067209,$\theta_{pq}$,0.25
3.45,0.909861,0.067955,$\theta_{pq}$,0.25
3.55,0.93912,0.072549,$\theta_{pq}$,0.25
3.65,0.925576,0.078396,$\theta_{pq}$,0.25
3.75,0.921168,0.084651,$\theta_{pq}$,0.25
3.85,0.92266,0.094777,$\theta_{pq}$,0.25
3.95,1.041584,0.11054,$\theta_{pq}$,0.25
4.05,1.086085,0.121145,$\theta_{pq}$,0.25
4.15,1.131221,0.144443,$\theta_{pq}$,0.25
4.25,1.474822,0.172592,$\theta_{pq}$,0.25
4.35,1.504127,0.208645,$\theta_{pq}$,0.25
0.205,0.914178,0.042332,$p_T$,0.25
0.215,0.879105,0.045712,$p_T$,0.25
0.225,0.901302,0.052433,$p_T$,0.25
0.235,0.982659,0.061187,$p_T$,0.25
0.245,0.99405,0.069594,$p_T$,0.25
0.255,1.152291,0.081652,$p_T$,0.25
0.265,1.20368,0.095706,$p_T$,0.25
0.275,1.120916,0.116889,$p_T$,0.25
0.285,1.320407,0.150199,$p_T$,0.25
0.295,1.261175,0.197462,$p_T$,0.25
0.4488,1.369143,0.221763,$\phi_{pq}$,0.25
0.5485,1.338452,0.19258,$\phi_{pq}$,0.25
0.6483,1.086926,0.154626,$\phi_{pq}$,0.25
0.748,1.206519,0.136707,$\phi_{pq}$,0.25
0.8477,1.007608,0.120713,$\phi_{pq}$,0.25
0.9475,1.147908,0.114428,$\phi_{pq}$,0.25
1.0472,0.92997,0.106062,$\phi_{pq}$,0.25
1.1469,0.921314,0.10417,$\phi_{pq}$,0.25
1.2467,0.933059,0.115086,$\phi_{pq}$,0.25
1.3464,0.851657,0.119519,$\phi_{pq}$,0.25
1.4461,0.716114,0.122224,$\phi_{pq}$,0.25
1.5459,0.998355,0.14716,$\phi_{pq}$,0.25
1.6456,1.01287,0.192389,$\phi_{pq}$,0.25
1.7453,0.766898,0.224757,$\phi_{pq}$,0.25
4.3384,0.617301,0.188963,$\phi_{pq}$,0.25
4.4381,0.646397,0.155102,$\phi_{pq}$,0.25
4.5379,1.056305,0.14772,$\phi_{pq}$,0.25
4.6376,0.840048,0.10909,$\phi_{pq}$,0.25
4.7373,0.950087,0.101954,$\phi_{pq}$,0.25
4.8371,0.901412,0.089846,$\phi_{pq}$,0.25
4.9368,0.793728,0.080451,$\phi_{pq}$,0.25
5.0365,0.704334,0.074824,$\phi_{pq}$,0.25
5.1363,0.89592,0.074691,$\phi_{pq}$,0.25
5.236,0.845428,0.07932,$\phi_{pq}$,0.25
5.3357,0.972711,0.085932,$\phi_{pq}$,0.25
5.4355,1.045262,0.099528,$\phi_{pq}$,0.25
5.5352,1.031928,0.119633,$\phi_{pq}$,0.25
5.6349,1.220841,0.14506,$\phi_{pq}$,0.25
5.7347,0.847582,0.164306,$\phi_{pq}$,0.25
5.8344,1.510138,0.215684,$\phi_{pq}$,0.25
5.9341,1.118253,0.246826,$\phi_{pq}$,0.25
