run_number|nom_current|current|charge|efficiency|deadtime|PS4|yield|norm_yield|yield_new|
24292|
24293
24294|10|9.031|3246.573|0.9992|1.00000|1|44706|13.72086565|44330|
24295|20|19.124|10008.921|0.9987|1.00000|1|136791|13.68469786|135518|
24296|30|29.18|15250.1|0.9986|1.00004|1|205812|13.51416037|203843|
24298|40|37.075|20518.51|0.9984|0.99950|2|138062|13.48562146|136656|
24299|50|44.668|38839.737|0.9985|1.00004|5|103480|13.34088693|102332|
