bin_center,ratio,ratio_err,variable
0.615,1.966229,0.155712,z
0.625,1.129629,0.054896,z
0.635,0.808296,0.037675,z
0.645,0.749821,0.035107,z
0.655,0.863792,0.037373,z
0.665,0.821492,0.036795,z
0.675,0.823831,0.036826,z
0.685,0.753724,0.035552,z
0.695,0.758491,0.036608,z
0.705,0.836097,0.038361,z
0.715,0.772567,0.037608,z
0.725,0.750033,0.03846,z
0.735,0.750182,0.038855,z
0.745,0.739295,0.038562,z
0.755,0.726647,0.03963,z
0.765,0.685965,0.040247,z
0.775,0.699531,0.04189,z
0.785,0.684965,0.042763,z
0.795,0.683724,0.044397,z
0.805,0.708547,0.045441,z
0.815,0.723025,0.04772,z
0.825,0.708382,0.048633,z
0.835,0.622013,0.053597,z
0.845,0.581097,0.065215,z
0.855,0.199711,0.069234,z
0.45,0.87146,0.193053,$\theta_{pq}$
0.55,1.199876,0.167594,$\theta_{pq}$
0.65,0.954397,0.135207,$\theta_{pq}$
0.75,0.999547,0.113753,$\theta_{pq}$
0.85,0.894768,0.098163,$\theta_{pq}$
0.95,1.012816,0.088892,$\theta_{pq}$
1.05,0.885808,0.076832,$\theta_{pq}$
1.15,0.784867,0.067995,$\theta_{pq}$
1.25,0.743281,0.062269,$\theta_{pq}$
1.35,0.753518,0.057708,$\theta_{pq}$
1.45,0.818277,0.054772,$\theta_{pq}$
1.55,0.818233,0.053312,$\theta_{pq}$
1.65,0.781871,0.050492,$\theta_{pq}$
1.75,0.800568,0.049896,$\theta_{pq}$
1.85,0.774045,0.048019,$\theta_{pq}$
1.95,0.741395,0.045888,$\theta_{pq}$
2.05,0.834874,0.046569,$\theta_{pq}$
2.15,0.782613,0.044242,$\theta_{pq}$
2.25,0.753284,0.042141,$\theta_{pq}$
2.35,0.766086,0.042397,$\theta_{pq}$
2.45,0.669103,0.040386,$\theta_{pq}$
2.55,0.761778,0.041202,$\theta_{pq}$
2.65,0.734195,0.040681,$\theta_{pq}$
2.75,0.714412,0.040001,$\theta_{pq}$
