bin_center,ratio,ratio_err,variable
0.845,1.595262,0.212194,z
0.855,2.0053,0.191395,z
0.865,1.84185,0.165054,z
0.875,1.737569,0.155555,z
0.885,2.235955,0.180212,z
0.895,2.821712,0.21468,z
0.95,2.64897,0.245676,$\theta_{pq}$
1.05,2.449497,0.220897,$\theta_{pq}$
1.15,2.505142,0.202666,$\theta_{pq}$
1.25,2.277096,0.176738,$\theta_{pq}$
1.35,2.502215,0.170075,$\theta_{pq}$
1.45,2.162356,0.175294,$\theta_{pq}$
0.105,2.628876,0.248427,$p_T$
0.115,2.456953,0.225548,$p_T$
0.125,2.508518,0.206589,$p_T$
0.135,2.15538,0.182149,$p_T$
0.145,2.406465,0.176814,$p_T$
0.155,2.326228,0.164588,$p_T$
