bin_center,ratio,ratio_err,variable,pt_bin_center
0.325,1.525552,0.141838,z,0.05
0.335,1.092713,0.054022,z,0.05
0.345,0.910391,0.035011,z,0.05
0.355,0.807081,0.030288,z,0.05
0.365,0.805116,0.030208,z,0.05
0.375,0.796264,0.03128,z,0.05
0.385,0.744409,0.032195,z,0.05
0.395,0.764766,0.033836,z,0.05
0.405,0.82442,0.035888,z,0.05
0.415,0.730976,0.036324,z,0.05
0.425,0.691466,0.038494,z,0.05
0.435,0.819799,0.041467,z,0.05
0.445,0.795551,0.045189,z,0.05
0.455,0.635816,0.049931,z,0.05
0.465,0.520871,0.062325,z,0.05
0.475,0.052066,0.096449,z,0.05
0.15,1.134027,0.176986,$\theta_{pq}$,0.05
0.25,0.982605,0.147002,$\theta_{pq}$,0.05
0.35,0.881818,0.105507,$\theta_{pq}$,0.05
0.45,1.004852,0.100145,$\theta_{pq}$,0.05
0.55,0.956448,0.081038,$\theta_{pq}$,0.05
0.65,0.72603,0.069052,$\theta_{pq}$,0.05
0.75,0.902513,0.065363,$\theta_{pq}$,0.05
0.85,0.796103,0.058714,$\theta_{pq}$,0.05
0.95,0.914426,0.057176,$\theta_{pq}$,0.05
1.05,0.819712,0.048884,$\theta_{pq}$,0.05
1.15,0.822441,0.04609,$\theta_{pq}$,0.05
1.25,0.807582,0.044254,$\theta_{pq}$,0.05
1.35,0.734343,0.038938,$\theta_{pq}$,0.05
1.45,0.758558,0.037295,$\theta_{pq}$,0.05
1.55,0.798353,0.037357,$\theta_{pq}$,0.05
1.65,0.779335,0.034508,$\theta_{pq}$,0.05
1.75,0.802402,0.033649,$\theta_{pq}$,0.05
1.85,0.752089,0.033198,$\theta_{pq}$,0.05
1.95,0.835509,0.036492,$\theta_{pq}$,0.05
2.05,0.762726,0.039664,$\theta_{pq}$,0.05
2.15,0.830487,0.047433,$\theta_{pq}$,0.05
2.25,0.886095,0.060501,$\theta_{pq}$,0.05
2.35,1.075667,0.097641,$\theta_{pq}$,0.05
0.005,1.010189,0.137346,$p_T$,0.05
0.015,0.947686,0.081677,$p_T$,0.05
0.025,0.88764,0.056717,$p_T$,0.05
0.035,0.876563,0.04511,$p_T$,0.05
0.045,0.855763,0.037482,$p_T$,0.05
0.055,0.806562,0.031833,$p_T$,0.05
0.065,0.786505,0.027728,$p_T$,0.05
0.075,0.794358,0.024742,$p_T$,0.05
0.085,0.797694,0.022648,$p_T$,0.05
0.095,0.793595,0.021245,$p_T$,0.05
0.5485,0.253026,0.248403,$\phi_{pq}$,0.05
0.748,0.911966,0.241285,$\phi_{pq}$,0.05
0.9475,1.155483,0.225958,$\phi_{pq}$,0.05
1.0472,0.648094,0.224755,$\phi_{pq}$,0.05
1.1469,1.281314,0.215816,$\phi_{pq}$,0.05
1.2467,0.892612,0.173955,$\phi_{pq}$,0.05
1.3464,0.999221,0.17915,$\phi_{pq}$,0.05
1.4461,0.807378,0.1336,$\phi_{pq}$,0.05
1.5459,0.974077,0.123754,$\phi_{pq}$,0.05
1.6456,1.024625,0.119221,$\phi_{pq}$,0.05
1.7453,1.030642,0.104244,$\phi_{pq}$,0.05
