bin_center,ratio,ratio_err,variable,pt_bin_center
5.4355,0.751398,0.047528,$\phi_{pq}$,0.08
5.5352,0.81832,0.048466,$\phi_{pq}$,0.08
5.6349,0.822539,0.049381,$\phi_{pq}$,0.08
5.7347,0.812459,0.050288,$\phi_{pq}$,0.08
5.8344,0.886214,0.050697,$\phi_{pq}$,0.08
5.9341,0.907274,0.054312,$\phi_{pq}$,0.08
6.0339,0.841522,0.052934,$\phi_{pq}$,0.08
6.1336,0.81551,0.052562,$\phi_{pq}$,0.08
6.2333,0.855942,0.054422,$\phi_{pq}$,0.08
0.615,0.971301,0.082362,z,0.24
0.625,1.084765,0.062689,z,0.24
0.635,1.102349,0.051455,z,0.24
0.645,0.955486,0.043721,z,0.24
0.655,0.940225,0.040151,z,0.24
0.665,0.842152,0.037826,z,0.24
0.675,0.916718,0.039395,z,0.24
0.685,0.834922,0.037915,z,0.24
0.695,0.922825,0.038245,z,0.24
0.705,0.855632,0.037719,z,0.24
0.715,0.802095,0.037128,z,0.24
0.725,0.911161,0.038836,z,0.24
0.735,0.84341,0.040401,z,0.24
0.745,0.752413,0.038784,z,0.24
0.755,0.910613,0.040839,z,0.24
0.765,0.910886,0.041131,z,0.24
0.775,0.90356,0.042711,z,0.24
0.785,0.95892,0.043601,z,0.24
0.795,0.89832,0.044461,z,0.24
0.805,0.942899,0.046215,z,0.24
0.815,0.896533,0.047889,z,0.24
0.825,1.11487,0.057449,z,0.24
0.835,0.999897,0.066896,z,0.24
0.845,1.090356,0.079525,z,0.24
0.855,1.161646,0.099626,z,0.24
0.865,0.745803,0.1127,z,0.24
0.875,0.809109,0.176712,z,0.24
1.55,0.808426,0.164933,$\theta_{pq}$,0.24
1.65,0.924526,0.064338,$\theta_{pq}$,0.24
1.75,0.868515,0.044563,$\theta_{pq}$,0.24
1.85,0.845982,0.03517,$\theta_{pq}$,0.24
1.95,0.912181,0.032426,$\theta_{pq}$,0.24
2.05,0.890356,0.03046,$\theta_{pq}$,0.24
2.15,0.832612,0.029553,$\theta_{pq}$,0.24
2.25,0.841585,0.031113,$\theta_{pq}$,0.24
2.35,0.837207,0.032301,$\theta_{pq}$,0.24
2.45,0.883499,0.033818,$\theta_{pq}$,0.24
2.55,0.949552,0.036642,$\theta_{pq}$,0.24
2.65,0.884303,0.037843,$\theta_{pq}$,0.24
2.75,0.907674,0.039904,$\theta_{pq}$,0.24
2.85,0.926964,0.042038,$\theta_{pq}$,0.24
2.95,1.006651,0.046698,$\theta_{pq}$,0.24
3.05,0.98735,0.049178,$\theta_{pq}$,0.24
3.15,1.117435,0.054447,$\theta_{pq}$,0.24
3.25,1.066502,0.058704,$\theta_{pq}$,0.24
3.35,0.981059,0.064766,$\theta_{pq}$,0.24
3.45,1.121962,0.075557,$\theta_{pq}$,0.24
3.55,1.010484,0.085912,$\theta_{pq}$,0.24
3.65,1.00203,0.102177,$\theta_{pq}$,0.24
3.75,0.916765,0.122093,$\theta_{pq}$,0.24
3.85,1.404032,0.161126,$\theta_{pq}$,0.24
3.95,1.43737,0.216468,$\theta_{pq}$,0.24
0.165,0.862867,0.026285,$p_T$,0.24
0.175,0.819908,0.026612,$p_T$,0.24
0.185,0.884951,0.02773,$p_T$,0.24
0.195,0.869851,0.028856,$p_T$,0.24
0.205,0.926274,0.030809,$p_T$,0.24
0.215,0.90271,0.031868,$p_T$,0.24
0.225,0.89732,0.03374,$p_T$,0.24
0.235,0.932206,0.035778,$p_T$,0.24
0.245,0.953801,0.038532,$p_T$,0.24
0.255,0.918454,0.040106,$p_T$,0.24
0.265,1.022353,0.044799,$p_T$,0.24
0.275,0.933666,0.049397,$p_T$,0.24
0.285,1.017261,0.052723,$p_T$,0.24
0.295,1.118786,0.057702,$p_T$,0.24
0.305,1.0962,0.06458,$p_T$,0.24
0.315,1.140831,0.071409,$p_T$,0.24
0.0499,1.151863,0.085337,$\phi_{pq}$,0.24
0.1496,1.142245,0.087143,$\phi_{pq}$,0.24
0.2493,1.011298,0.079669,$\phi_{pq}$,0.24
0.3491,1.030755,0.078535,$\phi_{pq}$,0.24
0.4488,1.055635,0.073259,$\phi_{pq}$,0.24
0.5485,0.977697,0.066659,$\phi_{pq}$,0.24
0.6483,0.994867,0.064536,$\phi_{pq}$,0.24 
0.748,0.922266,0.058366,$\phi_{pq}$,0.24
0.8477,0.86571,0.05595,$\phi_{pq}$,0.24
0.9475,0.800486,0.050743,$\phi_{pq}$,0.24
1.0472,0.864603,0.049554,$\phi_{pq}$,0.24
1.1469,0.819031,0.049455,$\phi_{pq}$,0.24
1.2467,0.862196,0.048192,$\phi_{pq}$,0.24
1.3464,0.796425,0.050904,$\phi_{pq}$,0.24
1.4461,0.82374,0.053038,$\phi_{pq}$,0.24
1.5459,0.891649,0.056061,$\phi_{pq}$,0.24
1.6456,0.664106,0.054735,$\phi_{pq}$,0.24
1.7453,0.726881,0.063217,$\phi_{pq}$,0.24
1.8451,0.700945,0.06773,$\phi_{pq}$,0.24
1.9448,0.769313,0.081594,$\phi_{pq}$,0.24
2.0445,1.042758,0.100463,$\phi_{pq}$,0.24
2.1443,0.847019,0.109748,$\phi_{pq}$,0.24
2.244,0.800898,0.123283,$\phi_{pq}$,0.24
2.3437,0.825421,0.140631,$\phi_{pq}$,0.24
2.4435,1.081538,0.179471,$\phi_{pq}$,0.24
2.5432,0.996747,0.186209,$\phi_{pq}$,0.24
2.7427,0.699833,0.235181,$\phi_{pq}$,0.24
3.3411,0.624017,0.238702,$\phi_{pq}$,0.24
3.4408,0.941002,0.2288,$\phi_{pq}$,0.24
3.5405,0.69076,0.20061,$\phi_{pq}$,0.24
3.6403,0.96999,0.18742,$\phi_{pq}$,0.24
3.74,0.843559,0.177701,$\phi_{pq}$,0.24
3.8397,1.125935,0.163911,$\phi_{pq}$,0.24
3.9395,0.897391,0.126131,$\phi_{pq}$,0.24
4.0392,0.848979,0.106617,$\phi_{pq}$,0.24
4.1389,0.937212,0.103086,$\phi_{pq}$,0.24
4.2387,0.782203,0.08295,$\phi_{pq}$,0.24
4.3384,0.865239,0.073589,$\phi_{pq}$,0.24
4.4381,0.838246,0.062987,$\phi_{pq}$,0.24
4.5379,0.940337,0.060308,$\phi_{pq}$,0.24
4.6376,0.861447,0.053435,$\phi_{pq}$,0.24
4.7373,0.805131,0.049524,$\phi_{pq}$,0.24
4.8371,0.820537,0.04668,$\phi_{pq}$,0.24
4.9368,0.892952,0.044083,$\phi_{pq}$,0.24
5.0365,0.799837,0.043587,$\phi_{pq}$,0.24
5.1363,0.813581,0.04394,$\phi_{pq}$,0.24
5.236,0.865751,0.045693,$\phi_{pq}$,0.24
5.3357,0.929714,0.047456,$\phi_{pq}$,0.24
5.4355,1.077108,0.053061,$\phi_{pq}$,0.24
5.5352,1.028986,0.056163,$\phi_{pq}$,0.24
5.6349,1.051682,0.061857,$\phi_{pq}$,0.24
5.7347,1.055828,0.066879,$\phi_{pq}$,0.24
5.8344,1.049722,0.071167,$\phi_{pq}$,0.24
5.9341,0.998101,0.073543,$\phi_{pq}$,0.24
6.0339,1.206002,0.082887,$\phi_{pq}$,0.24
6.1336,1.150584,0.085997,$\phi_{pq}$,0.24
6.2333,1.163572,0.083484,$\phi_{pq}$,0.24
0.665,1.562702,0.227143,z,0.40
0.675,1.438707,0.208034,z,0.40
0.685,1.510836,0.198935,z,0.40
0.695,1.594162,0.194526,z,0.40
0.705,1.470176,0.191054,z,0.40
0.715,1.21672,0.192658,z,0.40
0.725,0.965933,0.172759,z,0.40
0.735,1.153522,0.166246,z,0.40
0.745,1.272537,0.182411,z,0.40
0.755,1.45077,0.194472,z,0.40
0.765,1.071987,0.165115,z,0.40
0.775,1.30525,0.178548,z,0.40
0.785,1.257069,0.166791,z,0.40
0.795,1.307441,0.191647,z,0.40
0.805,1.110664,0.180743,z,0.40
0.815,1.332798,0.195033,z,0.40
0.825,0.944227,0.180682,z,0.40
0.835,0.924237,0.220138,z,0.40
0.845,1.13607,0.239597,z,0.40
3.25,1.363632,0.202602,$\theta_{pq}$,0.40
3.35,0.791037,0.16103,$\theta_{pq}$,0.40
3.45,0.883035,0.142184,$\theta_{pq}$,0.40
3.55,1.269413,0.134039,$\theta_{pq}$,0.40
3.65,0.958307,0.126548,$\theta_{pq}$,0.40
3.75,1.219083,0.128076,$\theta_{pq}$,0.40
3.85,1.013126,0.11959,$\theta_{pq}$,0.40
3.95,1.225739,0.129138,$\theta_{pq}$,0.40
4.05,1.258522,0.135464,$\theta_{pq}$,0.40
4.15,1.233011,0.143073,$\theta_{pq}$,0.40
4.25,1.534065,0.183032,$\theta_{pq}$,0.40
4.35,1.516609,0.195304,$\theta_{pq}$,0.40
4.45,1.391032,0.239178,$\theta_{pq}$,0.40
0.325,1.058515,0.079585,$p_T$,0.40
0.335,1.078255,0.088128,$p_T$,0.40
0.345,1.163431,0.100931,$p_T$,0.40
0.355,1.251713,0.118597,$p_T$,0.40
0.365,1.536309,0.14991,$p_T$,0.40
0.375,1.353258,0.166947,$p_T$,0.40
0.385,1.708001,0.210869,$p_T$,0.40
0.8477,1.005686,0.211652,$\phi_{pq}$,0.40
0.9475,1.064569,0.212501,$\phi_{pq}$,0.40
1.0472,1.430448,0.21725,$\phi_{pq}$,0.40
4.6376,1.267646,0.239258,$\phi_{pq}$,0.40
4.7373,1.143207,0.177791,$\phi_{pq}$,0.40
4.8371,0.893384,0.149305,$\phi_{pq}$,0.40
4.9368,1.167606,0.145434,$\phi_{pq}$,0.40
5.0365,0.949698,0.127371,$\phi_{pq}$,0.40
5.1363,1.129365,0.128256,$\phi_{pq}$,0.40
5.236,0.97983,0.132888,$\phi_{pq}$,0.40
5.3357,1.076173,0.136647,$\phi_{pq}$,0.40
5.4355,1.317844,0.170983,$\phi_{pq}$,0.40
5.5352,1.266564,0.210271,$\phi_{pq}$,0.40
