run,mean,std_dev,amplitude,nevents
24732,9.53911,2.17645,17.32565,459
24733,9.43968,2.02318,9.25658,228
24734,9.49534,1.93314,16.89034,400
24736,9.18913,2.04568,19.01841,475
24737,9.37303,2.01618,9.95271,248
24738,9.53814,1.93275,23.02133,544
24739,9.56181,1.90991,22.38943,528
24740,9.46255,2.06192,21.16160,539
24741,9.54599,1.93471,22.27554,523
24742,9.44514,2.08416,24.31123,622
24743,9.44657,2.04277,21.15336,532
24744,10.26100,1.84297,3.66236,82
24745,9.20899,2.01034,13.32525,330
24746,9.44809,1.94672,21.03999,498
24747,9.35174,1.90578,14.80048,348
24748,9.45663,2.28408,5.80594,163
24753,9.76619,1.55955,0.93202,18
24755,9.32231,1.94192,10.36756,246
24756,9.44378,2.25098,11.37592,309
24758,9.54794,2.07111,11.85290,302
24759,9.30614,1.95527,5.39012,129
24766,9.24195,1.96757,19.96744,487
24767,9.26419,2.12609,20.25478,525
24768,9.49163,2.01479,18.80942,467
24769,9.45057,1.98844,8.99910,217
24770,9.39092,2.06171,33.56135,840
24772,9.43672,1.99137,22.91430,558
24773,9.54583,2.07153,12.05821,303
24774,9.68643,1.91647,6.56536,155
24775,9.51637,2.33938,8.73857,247
24776,9.12541,1.96144,9.56358,236
24777,9.38632,1.83325,10.66017,240
24778,9.46770,1.87755,5.29584,122
24779,9.30689,2.05150,56.73894,1423
24780,9.24609,2.14859,38.76564,1008
24781,9.29965,1.95920,56.11498,1352
24782,9.29632,2.01157,57.81683,1431
24783,9.28572,1.96550,48.79417,1170
24784,9.36664,2.07545,54.96530,1385
24785,9.37949,1.99842,50.15621,1230
24786,9.42691,2.09177,41.66350,1055
24787,9.42615,2.08506,51.75920,1308
24788,9.49864,1.94860,46.05871,1098
24789,9.21165,1.91150,50.19436,1185
24790,9.38544,2.09365,35.45488,903
24791,9.33193,2.07660,16.77577,426
24794,9.48084,1.85336,12.14443,273
24795,9.33910,2.05847,16.19567,409
24796,9.31282,2.87516,1.37131,47
24797,9.20720,1.85937,22.06519,510
24798,9.49024,2.09670,17.76253,448
24803,9.42370,2.13403,41.70126,1076
24804,9.28899,1.93047,52.92493,1265
24805,9.28444,1.94373,63.38938,1506
24806,9.35528,2.09352,50.28479,1282
24807,9.36260,2.10510,54.26913,1378
24808,9.27032,1.96576,58.58411,1413
24809,9.34029,1.99488,53.10961,1292
24810,9.32704,2.00317,53.06887,1298
24811,9.41386,1.97053,41.35912,1008
24812,9.34233,2.21026,37.27873,998
24813,9.44572,2.11428,11.18713,292
24814,9.43308,2.11140,19.35381,494
24815,9.46003,2.02911,21.41771,527
24816,9.25005,1.90409,21.96119,518
24817,9.35667,2.01141,22.38327,551
24818,8.56454,2.66258,4.61737,152
24819,8.67264,2.26664,4.97743,146
24820,9.03489,2.29330,4.88357,140
24821,9.12591,2.45058,1.47919,47
24822,8.61113,2.36792,1.35700,41
24823,9.14345,2.47838,1.90598,59
24824,9.30076,2.56998,2.42990,80
24825,8.43986,2.09315,4.03026,106
24826,8.28461,2.59311,3.35082,106
24827,9.23721,2.32612,2.79351,85
24828,8.92270,2.67342,2.80127,93
24829,8.79523,2.12074,0.71688,18
24830,8.32960,1.51367,0.76836,15
24831,8.20951,1.53907,0.86204,17
24832,9.96924,2.64096,0.69360,22
24861,8.95296,1.73252,1.47398,34
24862,9.20980,1.96001,1.41625,40
24863,7.95037,2.28521,1.39479,39
24864,8.42672,1.92783,2.48310,61
24865,8.36182,2.27629,3.75914,109
24866,8.59602,2.31241,4.05909,121
24867,8.80863,2.17374,4.43434,123
24868,9.39674,2.54164,4.00239,126
24870,9.16960,2.57557,6.95197,224
24871,8.79921,2.11369,7.22503,194
24872,8.83124,2.60620,6.14023,195
24873,8.91176,2.25012,7.33482,206
24874,8.49148,1.99312,1.94899,53
24877,9.64260,2.09069,134.82685,3424
24878,9.62696,2.03362,752.81246,18716
24879,9.56146,1.98733,150.67079,3700
24880,9.55748,1.96146,1004.29641,24206
24881,9.57410,1.98032,1008.69575,24459
24882,9.53068,1.96584,610.59828,14751
24883,9.52583,1.96786,284.14431,6860
24886,9.54999,1.98533,583.57874,14186
24887,9.53344,1.94362,479.14099,11455
24888,9.55874,1.95806,578.51474,13926
24889,9.51504,2.00758,474.89742,11685
24890,9.47144,2.00880,258.54612,6342
24893,9.55320,1.94089,216.28208,5143
24894,9.57931,1.94930,252.14481,6020
24897,9.52978,1.96285,410.88842,9908
24898,9.52826,1.96692,1007.74331,24353
24899,9.53235,1.97585,287.14731,6954
24902,9.49590,1.98753,179.13981,4375
24903,9.51810,2.00918,500.98571,12306
24907,9.50370,1.99523,638.78264,15597
24908,9.47143,1.98173,731.67860,17786
24909,9.45032,2.01042,347.51838,8565
24910,9.49183,1.98539,330.10379,7991
24913,9.46675,1.99897,787.60692,19260
