run,mean,std_dev,amplitude,nevents,chi2,ndf,chi2_ndf
23861,8.876403729457698,1.8689185471526373,21.223396280870006,678,41.694834999232235,27,1.5442531481197124
23862,8.821475173088784,1.8113079058459731,24.35190394931809,753,44.32697420601314,28,1.5831062216433265
23864,8.757726597535761,1.8140775192801923,22.478496435159293,695,34.39670863729393,26,1.322950332203613
23865,9.373522954657282,1.6614332729043697,14.487491382343705,423,28.090876633719354,26,1.080418332066129
23866,8.830418028946855,1.6727273768083841,8.790326206503844,266,36.66965236674224,26,1.4103712448747017
23867,9.068349690197712,1.7655711972215775,18.96006585638715,572,33.547209169612124,27,1.2424892285041527
23868,9.011535319317726,1.7675698903472525,19.85904395727769,607,42.49236304987329,27,1.5737912240693812
23876,9.220065974447643,1.5392454054381246,2.5189207853426523,69,10.604121207460347,19,0.558111642497913
23878,9.245469837004926,1.2372787841670034,1.8649855777746265,42,8.748136871900737,10,0.8748136871900737
23879,9.889566634589428,1.5015021489385887,1.4314596145643976,41,6.311192363936571,15,0.4207461575957714
23880,9.23340237527859,1.588983651919799,0.9614884947370704,27,5.42553228148353,12,0.4521276901236275
23881,10.35304291496053,1.2802485259521394,1.4473517090851973,34,4.419092743586307,13,0.33993021104510057
23882,9.218486499891016,1.6967477310017878,1.4722292537719726,44,8.26826940357899,13,0.63602072335223
23883,9.06350843242326,1.904199349543332,1.3815660362690798,40,6.92393385477398,18,0.3846629919318878
23884,8.39450584709949,1.2078967333009965,1.7531590925482288,45,5.3318232856269,12,0.44431860713557497
23885,7.854612524614183,2.309124563921015,0.6789257772098107,24,7.60063890336833,12,0.6333865752806942
23886,9.098148706812546,1.222195817517552,1.3054368870418784,32,6.466652541523757,9,0.7185169490581953
23887,9.07371414661297,2.1995258595561813,1.366898734668061,51,8.461871049559338,22,0.3846305022526972
23888,9.737517519940218,1.336151029025871,1.539781939583852,37,6.139702614019221,13,0.472284816463017
23889,9.476618379026801,1.4685171901704313,1.89400972152431,52,6.981355168212992,16,0.436334698013312
23890,11.445924321127116,0.7426879819224866,1.0856362695892867,21,7.687956212018506,9,0.854217356890945
23892,8.625797898518103,2.6505020344841355,1.5015355698392179,60,12.628227304925861,26,0.4857010501894562
23893,8.545344781983264,1.2356392915020291,2.53494070541015,63,13.567424516753132,15,0.9044949677835421
23894,9.165366729973611,1.5865412805768004,2.2938732938675024,64,6.8024506595013134,17,0.40014415644125373
23895,8.635512184271558,1.466956651442142,2.215300881326803,58,8.417296713155787,17,0.49513510077386985
23896,8.612274943932626,1.1403685383986035,1.7497142241139358,39,6.186319713356131,14,0.4418799795254379
23897,8.846044240435399,2.760182475621511,1.6254520328352273,68,16.61105872381268,25,0.6644423489525072
23898,8.835610256426785,1.8471108624818868,2.2403039050982327,67,12.012857045123448,21,0.5720408116725452
23899,9.15035794544424,1.0792513868175926,3.1163806027042673,66,12.937136475343614,14,0.9240811768102581
23900,9.16448399540166,1.4901928766557195,2.7885596983406318,77,14.183345960525973,19,0.7464918926592617
23902,8.2119922876992,1.26101244032245,1.506069593517891,36,7.696981544604988,13,0.5920755034311529
23904,9.097078078892787,1.7121607511114456,3.1641728357007746,90,14.285901352024352,22,0.6493591523647433
23905,8.88040885948362,2.2775832031212384,1.8584471144744223,66,12.33240731917848,24,0.51385030496577
23906,8.88429388589759,1.8590443303000739,2.102145206051127,68,8.460243681218614,22,0.38455653096448245
23907,8.589097734909691,1.6135044420139053,2.9092072272962857,81,18.609043715220757,19,0.9794233534326714
23908,9.217181669113115,1.642891332765139,0.952865817117134,29,5.242976679752929,14,0.3744983342680664
23942,8.731307523895282,0.7311544205141624,2.3710508995631363,33,3.801256432813453,9,0.42236182586816146
