run,mean,std_dev,amplitude,nevents
24095,8.59302,3.06332,10.96781,442
24096,8.26011,3.05901,7.18128,290
24097,6.77196,1.80953,2.26942,69
24098,8.74410,3.28103,18.54252,815
24099,8.64106,3.30547,20.13255,883
24100,8.77786,3.44067,15.97233,712
24101,8.56113,3.10088,20.64584,865
24103,8.84055,3.51559,13.14113,592
24104,8.86860,3.41565,25.54131,1134
24110,8.76967,3.22049,17.28974,729
24111,8.73521,3.25406,16.78442,727
24112,8.78979,2.96269,20.54896,831
24113,8.46227,3.48422,11.55016,519
24116,8.70246,3.23792,12.76542,558
24117,9.26017,3.45142,13.06672,590
24120,9.03265,3.63717,21.34957,1005
24121,9.34347,3.60349,19.81454,912
24122,9.13381,3.51652,18.40354,833
24123,8.86613,3.38996,18.65004,816
24125,8.01777,2.87081,8.86446,358
24126,9.09187,3.64169,14.07890,667
24127,9.09095,3.39738,13.34319,586
24128,8.53392,3.16896,17.39656,744
24129,9.01404,3.28495,15.07252,659
24130,9.05211,3.76709,18.91990,911
24131,9.02597,3.32752,17.75310,780
24132,8.92907,3.39404,13.39637,604
24133,9.01893,3.64810,17.44666,819
24134,8.61408,3.33704,13.52827,586
24135,7.80474,2.75675,5.83040,216
24138,8.98818,3.58129,22.67019,1051
24139,9.22199,3.60109,23.56215,1097
24140,9.29473,3.75250,24.49431,1175
24141,9.24452,3.64379,23.46639,1098
24144,8.93971,3.64232,14.70773,695
24145,9.30386,3.42187,14.59693,654
24146,9.03383,3.28263,14.78284,637
24147,9.53719,3.62679,15.88673,727
24150,8.98652,3.35337,20.37238,882
24151,8.81536,3.15267,20.16084,848
24153,8.97897,3.48954,18.27599,826
24155,9.03832,3.29592,19.60515,845
24156,8.28796,2.87920,14.67841,576
24157,7.86516,2.70151,6.44989,232
24158,8.66088,3.16052,19.73972,840
24159,8.23312,3.04569,20.52511,844
24160,8.71371,3.31694,19.40607,856
24161,8.52311,2.86656,20.54934,818
24162,8.78944,3.11387,18.55520,776
24163,9.17002,3.55812,16.76198,763
24164,9.04106,3.39459,17.48744,780
24165,8.64421,3.13895,21.45575,900
24166,8.44681,2.99844,9.77635,392
24167,8.78020,3.35631,13.78260,613
24168,8.79541,3.27483,16.17726,690
24169,8.37087,3.03443,16.55286,683
24170,8.89169,3.47070,13.82704,626
24171,8.92753,3.31747,11.50649,501
24172,8.77812,2.97814,15.09225,615
24173,8.97291,3.51892,12.62516,574
24174,9.16197,3.44615,15.31176,688
24175,8.68972,3.17780,14.62978,629
24176,8.75482,3.67313,14.80838,706
24177,8.98554,3.67246,12.93981,610
24178,9.01903,3.43135,15.10593,687
24179,8.74603,3.15570,21.35311,891
24185,8.77290,3.52228,17.20994,794
24187,8.35068,3.47614,23.89856,1082
24188,8.42198,3.49804,24.61480,1119
24189,8.34531,3.13674,23.58999,980
24190,8.29735,3.27921,26.00226,1123
24191,8.61914,3.50738,21.65430,986
24192,8.27827,3.06508,26.98656,1096
24193,8.43617,3.28763,22.02854,955
24194,8.49285,3.52725,23.88228,1072
24195,8.54830,3.08571,27.16326,1127
24196,8.12830,3.15195,15.85202,659
24197,8.23674,3.01421,10.77466,425
24200,7.71269,2.96674,7.74769,324
24201,8.71750,3.28657,30.74751,1316
24203,8.46855,3.36008,44.95511,1973
24204,8.13828,3.11205,21.35920,891
24206,8.49957,3.52832,9.44559,424
24207,8.31727,3.23396,23.20773,1003
24208,8.42818,3.36667,24.16906,1051
24210,8.09787,3.15256,13.26845,562
24211,8.22970,3.06394,13.67552,580
24213,7.91955,4.43303,59.75746,3268
24214,8.06582,4.06291,51.88928,2669
24215,8.11324,4.25517,65.48613,3485
24216,8.04469,4.45099,67.17205,3677
24217,7.91160,4.22282,66.29652,3496
24218,7.92464,4.02789,65.51362,3358
24219,7.66405,4.08661,48.18026,2465
24220,7.26141,3.81988,23.56490,1136
24222,7.85118,3.89432,51.32381,2529
24223,7.74333,3.88142,27.27520,1366
24224,7.86072,4.06739,50.17489,2568
24225,7.99493,3.86859,18.95249,944
24226,7.75504,4.19931,52.58812,2764
24227,7.87847,4.11067,64.06786,3304
24228,7.68354,4.01441,47.69750,2459
24229,7.89543,3.95194,35.16870,1763
24230,7.41284,3.54229,22.59349,1030
24232,6.95266,4.40215,23.44210,1252
24233,7.06564,4.05948,22.96050,1147
24234,7.22025,4.52217,21.44401,1170
24236,7.69913,4.46121,49.91497,2731
24237,7.51818,4.44014,46.74872,2554
24238,7.58824,4.32508,53.22141,2850
24239,7.52431,4.32359,52.69929,2831
24240,7.64104,4.44523,55.24450,3010
24241,6.96871,4.13395,30.38651,1549
24243,7.33607,4.34402,27.05348,1454
24244,7.77405,4.58132,31.25730,1755
24245,7.50605,4.40228,31.41526,1703
24246,7.38303,4.15183,32.09258,1688
24247,7.47493,4.58066,27.92356,1551
24248,7.21966,4.62260,30.11590,1692
24250,7.73823,4.14388,63.55138,3315
24251,7.56949,4.04716,67.63238,3467
24252,7.97040,4.35517,63.96848,3447
24253,8.14586,4.31006,67.13905,3600
24254,7.93392,4.08103,70.31431,3635
24255,7.85102,4.01949,66.33649,3387
24257,7.51966,3.92711,52.56741,2638
24258,7.65335,3.98052,48.61840,2450
24259,7.70581,4.06765,48.68223,2521
24260,7.89446,4.11190,45.13344,2333
24261,7.76834,3.88030,38.09691,1902
24262,7.63865,3.82096,44.18172,2172
24263,7.46897,3.77781,36.89922,1783
24264,6.91084,3.91520,20.31397,989
24266,7.54162,4.26141,45.25419,2399
24267,6.92874,4.07547,24.40237,1236
24268,6.92711,4.07841,23.03294,1153
24269,7.42060,4.23912,19.13544,999
24270,7.55419,4.20431,52.39838,2769
24271,7.74395,4.16869,51.50109,2684
24273,7.33180,4.36234,57.98421,3123
24274,7.71315,4.14880,58.50242,3047
24275,7.52430,4.45864,53.74412,2950
24276,7.30410,3.96042,31.85643,1589
24277,7.49074,4.46458,33.16877,1816
24278,7.63166,4.09724,36.44809,1878
24279,7.41206,4.47278,33.46207,1836
24280,7.75014,4.46852,32.75652,1799
24281,7.57716,4.44224,35.47409,1941
24282,7.39750,4.06736,40.26081,2087
24283,7.56224,4.55658,34.50892,1922
24310,7.55528,4.04932,32.87291,1664
24311,7.41558,4.04934,34.23544,1747
24312,7.62063,4.03851,37.76090,1904
24313,7.68064,3.86248,50.24612,2464
24314,7.80661,4.12767,30.75861,1589
24315,7.46351,3.94804,27.77370,1399
24316,7.43686,3.89038,32.74030,1591
24317,7.53678,4.19493,32.79380,1713
24318,7.33563,3.11253,6.58428,270
24322,7.69558,3.95107,37.81494,1888
24323,7.63721,4.03631,23.51652,1201
24324,7.62133,4.16443,35.99645,1888
24325,7.39774,3.65394,40.54361,1904
24326,7.49695,3.87111,33.67025,1667
24327,7.73086,3.92619,34.22836,1714
24328,7.30340,3.81973,36.46318,1798
24329,7.68418,3.87253,36.13820,1788
24330,7.49464,4.16977,27.86727,1460
24331,7.32192,3.59391,16.43747,762
24332,7.04693,3.86399,11.72098,582
24335,6.89177,3.72646,3.28724,154
24336,7.33994,4.24191,24.07768,1267
24337,7.51345,3.91909,29.21761,1470
24338,7.60494,4.05228,31.85524,1619
24339,7.23311,3.92019,28.97536,1443
24342,7.28546,4.34311,36.18070,1963
24343,7.61579,3.98796,33.61845,1697
24344,7.56800,4.12769,35.74209,1849
24345,7.56276,4.08485,37.62827,1932
24346,7.65956,4.16642,37.80042,1964
24347,7.52079,4.13847,37.13180,1931
24348,7.55854,4.40688,34.32373,1868
24349,7.52656,3.97341,13.47535,671
24352,7.46182,4.69056,22.65678,1279
24353,7.70618,4.35611,25.96405,1391
24354,7.50788,4.11398,24.15094,1243
24355,7.49957,4.12577,25.46527,1293
24356,7.17391,4.34682,21.24164,1146
24357,7.46366,4.35878,19.96324,1085
24359,7.41438,4.36711,19.57834,1050
24360,7.55198,4.34081,22.69975,1214
24363,7.19870,3.98137,15.49920,779
