run,mean,std_dev,amplitude,nevents
25038,19.15931,7.28339,76.76777,3583
25041,19.36671,7.32208,80.42440,3739
25044,18.96225,6.76529,194.90551,8704
25045,18.63124,6.79092,209.75044,9434
25046,15.53929,5.11959,136.01832,4596
25049,18.25589,6.57746,184.43555,8135
25050,18.29634,6.63504,200.01395,8892
25051,18.14851,6.39095,119.31689,5113
25052,15.87061,5.30236,149.66195,5429
25053,14.34810,4.87514,82.59457,2490
25056,17.05515,5.95332,152.42657,6191
25059,18.34820,6.71550,184.17451,8232
25060,18.12784,6.52741,187.58464,8181
25061,17.32531,6.09414,170.33259,7070
25062,17.75558,6.35832,101.78205,4354
25063,17.72492,6.08225,54.15095,2229
25064,17.51440,6.23777,74.08353,3147
25065,18.42641,6.71017,212.80705,9515
25066,18.17531,6.55052,199.43053,8728
25067,18.50512,6.59458,199.27319,8748
25068,15.31946,5.16227,143.06986,4784
25069,18.39030,6.81160,184.30932,8316
25070,18.13666,6.61417,175.33192,7724
25071,18.05415,6.29522,210.13866,8950
25072,16.26154,5.48353,143.21647,5239
25073,14.18456,4.62373,95.92767,2771
25074,17.18199,6.06051,92.20319,3775
25076,10.64001,4.18073,189.20263,5288
25077,10.59546,4.18022,177.32886,4960
25078,10.55507,4.13818,196.26302,5400
25079,10.07246,4.03991,120.25801,3041
25080,10.08600,4.05516,116.53303,2989
25083,10.89520,4.19577,134.45880,3794
25084,10.64431,4.35242,262.93955,7714
25085,10.81199,4.47871,156.23326,4600
25086,10.70320,4.38951,217.84654,6350
25087,9.83235,3.88672,92.51831,2235
25088,9.76874,3.86149,99.30686,2425
25091,10.83782,4.52653,22.60624,682
25092,10.58988,4.19852,141.48619,3932
25093,10.40390,3.97136,156.39399,4196
25096,11.41487,4.59824,242.99717,7675
25097,11.45465,4.63824,232.46536,7486
25098,11.33380,4.49443,254.39492,8010
25099,10.22111,3.94522,128.85400,3242
25102,11.14561,4.29282,252.50127,7722
25103,11.28235,4.39044,186.91894,5769
25104,11.13885,4.30703,170.63540,5188
25105,11.24782,4.41763,180.12589,5560
25108,11.29708,4.47329,226.74033,6989
25109,10.99179,4.39167,239.31452,7266
25110,11.05881,4.34747,241.54728,7329
25111,9.99091,3.80584,157.02108,3900
25112,10.22999,4.01368,143.39336,3761
25114,11.41988,4.54883,279.95381,8923
25115,11.50310,4.70212,270.17849,8889
25116,11.33463,4.57748,267.84780,8599
25117,9.78960,3.79964,133.02199,3270
25119,10.01670,3.95428,141.98421,3602
25120,10.67761,4.17055,149.15712,4101
25121,10.48705,4.10394,158.04160,4305
25122,15.30875,5.19082,164.26112,5230
25123,15.13313,5.72140,135.16294,4790
25124,14.47649,4.67568,145.69954,4126
25126,13.97487,4.20064,7.25436,192
25127,14.43654,4.88182,94.92198,2816
25128,14.33970,4.86151,91.47740,2693
25129,14.28660,4.83538,102.65673,3005
25130,14.20139,4.53049,4.31749,118
25131,13.88209,4.65620,65.33341,1837
25134,14.38765,4.55104,65.59178,1797
25135,14.53301,4.58823,69.12752,1922
25138,15.04514,4.87039,444.43440,14496
25139,15.52702,5.20923,460.32018,16302
25140,15.63825,5.24996,489.05964,17365
25141,14.10618,4.51726,345.58014,9802
25146,13.95721,4.44694,272.29262,7536
25147,13.95106,4.40491,73.98335,2019
25148,14.02147,4.59088,227.88747,6492
25149,13.93083,4.43992,216.24243,5992
25150,14.15057,4.53334,294.87429,8354
25151,13.52095,4.19063,178.55213,4523
25154,13.58404,4.27351,161.19258,4207
25157,13.99936,4.65188,129.10203,3806
25158,14.23391,4.66607,225.13033,6574
