run,mean,std_dev,amplitude,nevents
24740,9.53043,2.22110,8.05680,219
24741,9.54991,1.92684,8.59723,199
24742,9.57620,1.86908,10.20658,239
24743,9.51916,2.08751,8.36439,213
24744,10.71559,1.61345,1.76869,35
24745,9.05359,1.63918,6.04117,123
24746,9.55942,2.01436,8.37761,206
24747,9.47118,2.04679,5.24143,131
24748,9.75027,1.87042,2.54883,60
24753,10.12906,1.35823,0.50294,9
24755,9.08536,1.74414,4.22499,90
24756,9.71335,2.10469,4.69365,119
24758,9.30425,1.98539,4.74887,119
24759,9.43199,1.68431,2.24706,47
24766,9.24590,1.84255,8.20213,197
24767,9.02284,1.84162,9.06077,202
24768,9.61513,2.15050,7.09467,187
24769,9.26235,2.03228,3.20614,78
24770,9.40673,2.25184,13.00345,353
24772,9.44797,1.88393,9.09791,210
24773,9.80078,2.18007,4.27901,113
24774,10.28957,1.95169,2.75000,65
24775,9.62451,2.13711,3.92908,102
24776,9.67614,2.14828,3.55254,91
24777,9.11988,1.73492,4.14793,88
24778,8.92064,1.40478,2.53034,46
24779,9.28276,1.88824,23.53792,545
24780,9.25039,2.12438,14.51343,374
24781,9.34046,1.94009,21.33144,510
24782,9.39296,2.02175,22.85586,568
24783,9.65319,2.05618,18.06524,449
24784,9.39768,2.09297,20.80189,529
24785,9.28672,2.03935,18.86175,472
24786,9.42527,1.97651,17.12028,413
24787,9.45918,2.09776,20.02388,510
24788,9.69496,2.11591,16.22616,413
24789,9.04840,1.93699,18.19953,434
24790,9.52217,2.04951,13.54250,337
24791,9.69545,2.28254,5.45299,149
24794,9.53026,1.79811,5.02326,108
24795,9.48643,1.96196,6.41769,157
24796,9.26979,2.82329,0.51934,18
24797,9.35823,1.86025,7.94094,184
24798,9.53015,2.05976,7.76573,193
24803,9.39949,2.20681,15.20394,404
24804,9.20339,1.99788,19.37686,477
24805,9.28924,2.00926,22.70296,553
24806,9.38766,2.17683,17.92385,472
24807,9.41846,2.21505,19.02013,503
24808,9.46650,2.06216,21.10550,532
24809,9.18429,1.98633,21.01266,510
24810,9.27993,1.96367,20.02282,486
24811,9.44879,1.90776,15.80617,374
24812,9.22090,2.21487,13.82037,374
24813,9.67971,1.99732,4.55941,111
24814,9.21859,1.84926,8.29924,191
24815,9.31777,2.11166,8.21841,211
24816,9.64747,1.87961,8.27640,190
24817,9.28396,1.91734,8.79296,210
24818,8.42697,2.85302,1.80816,64
24819,9.14397,2.02289,1.97004,54
24820,8.76017,2.04356,2.64959,68
24821,10.29669,2.21328,0.63893,19
24822,7.13380,2.94275,0.32106,11
24823,9.53788,2.30342,0.74981,23
24824,10.01500,2.47040,1.08942,34
24825,7.95181,2.07533,1.48816,38
24826,8.47134,2.58751,1.50049,48
24827,9.40139,2.35658,0.92191,28
