run,mean,std_dev,amplitude,nevents
24766,8.35286,2.92461,16.10499,594
24767,8.42980,2.83326,17.93231,653
24768,8.06846,2.89055,16.06141,579
24769,7.70671,2.52189,7.87187,259
24770,7.97887,2.99858,26.62511,1001
24772,8.03206,2.99308,17.08414,654
24773,8.00458,2.76813,10.35738,361
24774,8.43297,3.11580,4.73988,185
24775,7.59474,2.27381,9.81652,302
24776,8.16932,3.13712,7.70741,301
24777,8.07624,2.69600,9.09636,304
24778,7.46072,2.68403,4.35560,150
24779,7.07720,3.57615,40.37867,1761
24780,6.88660,3.65731,29.40362,1285
24781,7.21468,3.59822,38.36913,1663
24782,7.20589,3.40986,42.60113,1776
24783,7.06425,3.48383,34.35789,1461
24784,6.95510,3.42258,40.39939,1697
24785,6.78314,3.61061,33.86353,1469
24786,7.12113,3.60082,29.45596,1287
24787,7.09347,3.50262,38.05327,1627
24788,6.89015,3.49283,31.93536,1347
24789,7.16391,3.48579,33.64595,1431
24790,6.73214,3.33957,26.92713,1100
24791,7.20938,3.63437,12.05271,531
24794,6.63807,3.59172,7.35964,322
24795,6.74855,3.72979,11.29716,504
24796,6.22862,3.32928,1.41535,55
24797,7.00468,3.41720,14.58131,615
24798,6.55946,3.52651,12.92336,540
24803,7.22074,3.53872,30.50879,1321
24804,6.91495,3.53577,35.39737,1520
24805,7.05636,3.51646,43.05148,1847
24806,7.07843,3.46984,37.06751,1560
24807,7.11890,3.55617,39.18727,1686
24808,7.05078,3.44015,41.33559,1738
24809,7.16321,3.70288,36.07630,1599
24810,7.05406,3.80684,33.77387,1553
24811,7.05813,3.66838,28.03325,1245
24812,6.95164,3.61286,27.81780,1217
24813,7.05557,3.36515,8.49743,344
24814,6.66562,3.79690,13.59127,611
24815,6.97349,3.53166,14.60379,629
24816,7.01374,3.83488,13.88985,628
24817,6.32107,3.76208,14.66440,657
24818,-0.12895,7.90201,11.75152,552
24819,1.84748,7.15766,11.71576,612
24820,1.85677,7.24873,10.80510,568
24821,-1.92690,9.42333,3.90106,183
24822,3.74951,4.85254,4.00126,184
24823,2.94200,6.36250,4.02259,208
24824,-1.93171,7.87432,4.87385,188
24825,-0.52368,7.98411,5.23212,240
24826,-4.78195,9.70965,5.99185,216
24827,2.13411,5.75994,4.01120,181
24828,0.93358,6.99770,4.38971,205
24829,8.85715,2.82773,2.36573,86
24830,7.87244,2.77232,2.21914,81
24831,8.79726,2.84530,2.59222,91
24832,7.91587,2.61286,2.51155,84
24861,9.10767,3.23846,5.18707,218
24862,8.67885,2.88010,5.86437,227
24863,8.35929,3.29523,4.65590,203
24864,9.14951,3.88715,6.26783,311
24865,6.72050,4.48214,10.27374,541
24866,6.95619,4.52328,9.31900,492
