run,mean,std_dev,amplitude,nevents,chi2,ndf,chi2_ndf
23861,12.325225135140647,4.693103886880907,15.47583221640621,610,36.927509595295085,40,0.9231877398823771
23862,12.245735483217173,4.667427393125559,17.356149279268394,657,43.45484498185128,40,1.086371124546282
23864,12.39390484372871,5.245301829343374,14.178039048012282,616,57.08558227980289,45,1.2685684951067309
23865,11.823809965486044,5.469642731624711,8.54663044020301,381,57.116057382351066,50,1.1423211476470214
23866,12.272607419157021,4.652407497437397,6.195531070741836,238,54.22890418420318,34,1.594967770123623
23867,11.581922486609413,4.358235611751969,14.013981305868061,528,48.35996361307169,40,1.2089990903267922
23868,11.855160040743959,4.672846849810059,14.20122329432283,551,63.82580284832212,40,1.595645071208053
23876,10.409446368284629,2.6295440873743767,2.712507001795377,64,16.007438330699156,15,1.0671625553799438
23878,7.639609921022739,3.8796228287593992,1.1320771858987504,32,5.282274615314918,17,0.31072203619499517
23879,7.063707869932284,3.789560786348646,1.1015538594216638,33,10.341140750286119,12,0.8617617291905099
23880,7.539693480070756,3.2085038943023902,1.0337924753726797,27,4.527539609967709,13,0.3482722776898238
23881,7.821682427519645,4.784590386735238,0.7773326394159883,32,7.169478763547589,15,0.4779652509031726
23882,6.666036930339075,3.3266155055274793,1.5730732428792527,37,6.644006123403282,16,0.41525038271270515
23883,8.925848312418264,2.113949613689317,1.77065577290667,32,6.256876728392785,12,0.5214063940327321
23884,6.776062107108814,2.7430281329586887,1.6139883433884608,39,7.504914058742855,13,0.5773010814417581
23885,8.11526465192672,4.077237427091258,0.7449820842063836,21,5.0501154392909875,13,0.38847041840699903
23886,8.098625757697803,4.014830274324608,0.8349297069115762,30,6.456493190046052,15,0.43043287933640345
23887,8.073865789825783,3.161420607645303,1.683378102511275,44,7.975112431050385,16,0.49844452694064906
23888,9.352773896574393,4.914608530146829,0.8972564121519929,30,9.543411319494787,14,0.6816722371067705
23889,9.983404210588795,4.7958798258673125,1.1481749532879628,44,8.9729847153454,23,0.39012977023240863
23890,7.960067555229377,5.487022150626257,0.4888033275167592,18,6.867747596409525,10,0.6867747596409525
23892,9.107952463509376,3.2886273280749037,1.8057520259638045,56,8.176832009221155,18,0.4542684449567308
23893,6.848278649185044,6.110803724236665,1.205451058400875,52,9.282513490535534,25,0.37130053962142134
23894,11.024640054451746,6.513996569414117,1.085981187205382,53,12.146418768616718,28,0.4338006703077399
23895,6.721834523343076,3.7750370323367517,1.519025896414782,50,8.971032238951594,19,0.4721595915237681
23896,7.937902092418694,2.0625045182463766,1.8501664804992268,39,4.798597438798028,10,0.4798597438798028
23897,7.0125679948686015,4.358574032583167,1.5347724650713472,55,9.16012805913984,23,0.3982664373539061
23898,4.4427966817600195,6.634525289573002,1.676376437256825,62,12.38213392120296,22,0.5628242691455891
23899,8.621440657275414,3.895163814432342,1.87176107412722,60,9.205400051214824,22,0.41842727505521926
23900,6.554250081680336,4.395138079064476,1.78780514693531,64,10.400304681539383,24,0.4333460283974743
23902,6.906739032129524,3.2955067807312597,1.2286364886996046,35,7.746622900062318,15,0.5164415266708212
23904,7.649784256441728,3.145639825315111,3.1716910307453867,80,17.82453832772576,23,0.7749799272924244
23905,7.849279496979859,2.5714680412464097,2.576279516375465,61,8.641620838661968,14,0.6172586313329977
23906,9.102235624297364,2.763748723115336,2.519676851863679,67,12.269448366641452,17,0.7217322568612619
23907,7.761994740654391,2.651034393487062,2.866880831871895,72,15.13563752618458,19,0.7966125013781358
23908,7.291581723360817,3.2563072913031044,1.031417012696101,25,4.871454728579228,13,0.37472728681378675
23942,7.925218626709467,3.014228238818735,1.1655052558852312,27,6.975596921797705,12,0.5812997434831421
23944,8.517264533548651,4.5302671806518955,1.760622617481326,63,13.253441191113751,27,0.4908681922634723
23945,9.37380693082258,3.20612049605711,1.6826965060536518,47,9.238122418344679,17,0.5434189657849811
23946,7.89456964587307,3.431030500225902,2.5730068184256263,75,13.07842193816984,24,0.5449342474237433
23947,7.237795626083415,4.487763285856254,2.1336380667090893,74,12.324244803379232,28,0.4401516001206868
23948,9.138935300660336,5.669178779953047,1.0319141753986398,45,9.229887236560401,24,0.38457863485668337
23950,9.609023979131706,5.258345313422902,2.056074758915391,81,18.719971424112433,28,0.6685704080040155
23951,8.052819334866262,3.4703981490313787,2.836976340455682,91,20.26361381592879,26,0.7793697621511073
23952,7.385533135821752,2.7343100572391155,3.233908688558409,78,13.379888721991954,19,0.7042046695785239
23953,6.514259426228651,0.9830235201127522,4.64998260040347,62,19.41737039125507,17,1.1421982583091217
23954,7.4416337922442475,5.3155310268478475,0.7051062154331679,29,10.140946319008606,15,0.676063087933907
23955,10.015769437085577,3.8924251495305975,1.2177357599867686,40,7.996426816850284,16,0.49977667605314274
23957,25.633338148230216,9.009364480175572,1.6952203407002095,105,20.023247277164707,50,0.40046494554329415
23960,28.149195365987776,8.357926916438378,5.585414747671992,316,81.16569698458076,64,1.2682140153840744
23961,27.430753394976918,10.011998855966256,1.7451257592233849,120,23.666959946610262,47,0.5035523392895801
23962,20.037525952023106,7.020447567814125,0.9024466080665119,52,14.60725615093128,27,0.5410094870715288
23964,29.941010587384028,10.07837828061529,6.811661262596412,421,84.15412993023106,64,1.3149082801598604
23965,28.810516152592786,8.38332997624033,6.891367353549251,395,77.22203016183005,60,1.2870338360305007
23966,29.41961862340927,10.231439462637633,7.727905093424987,501,120.06314049453276,65,1.847125238377427
23967,28.31192487695879,9.767706062374705,4.155183734903768,265,82.23212586210248,60,1.3705354310350413
23969,30.505975716367296,9.649360817685098,7.082771143562975,439,122.68138821347605,61,2.0111702985815745
23970,27.73826254948964,8.255116855150067,7.724114006725598,445,112.44632461778743,60,1.8741054102964572
23972,27.83550477525672,8.326694545890263,5.5628903212986165,317,58.61071820048199,57,1.0282582140435437
23973,26.44769104299519,8.628550479896617,1.6426250153057655,94,21.190251805069593,45,0.4708944845571021
23974,26.98345309376553,7.429992772839828,6.295672724580453,344,95.31782008250535,64,1.489340938789146
23975,24.855669858829238,8.837764903790717,1.1838270409591225,75,16.799740219600743,38,0.4420984268315985
23977,23.09501702130218,8.817718735055061,6.270274253897512,361,91.59265398004868,72,1.2721201941673428
23979,23.723349779363254,9.764542222269467,4.450401474570532,276,87.05780944566898,69,1.261707383270565
23980,24.452859227363334,9.362606329649477,3.166784158353359,196,44.26437658360712,64,0.6916308841188612
