run,mean,std_dev,amplitude,nevents,chi2,ndf,chi2_ndf
23861,8.304374047208976,3.225592591053444,8.803193468719419,453,63.844318163420965,51,1.2518493757533522
23862,8.637255966261108,3.454571716254515,9.039980407024427,498,62.275494262975215,53,1.1750093257165135
23864,8.799823509360287,3.252215079969511,8.831925827600896,449,52.47350965696843,51,1.0288923462150672
23865,8.725411238729366,2.8607444240154503,5.543114756845104,266,74.50218532024749,43,1.7326089609359883
23866,9.07335791718279,3.4528278150282254,3.193742177732767,184,30.352774578501254,48,0.6323494703854428
23867,8.199993589787919,3.281334301653414,7.207100987990579,389,55.20964163219239,50,1.1041928326438477
23868,8.472109124472542,3.222578339268535,7.584440568326324,394,88.75844900905982,52,1.7068932501742273
23876,8.865657717591997,3.1875918681875346,5.201917209778907,280,40.92157907862625,49,0.8351342669107398
23878,9.312849842677453,3.840666519589334,3.6687615416964814,211,53.1781936956117,54,0.9847813647335499
23879,8.28340764797501,3.2792554454629856,3.863755176510031,198,39.48162286843102,46,0.8582961493137178
23880,8.015376173162185,3.9691282844666738,2.801045147656069,161,31.40055475622641,53,0.5924632972872907
23881,7.451908047599148,2.8023074272398647,3.6893419118416144,169,42.481337799254405,44,0.9654849499830547
23882,8.368185149761844,3.3866995411131833,3.6892499796222347,192,49.357615921579765,50,0.9871523184315953
23883,8.055250285037,3.642018965085494,3.774985716676903,207,50.69270328507582,54,0.9387537645384412
23884,7.80398055064451,3.5846811266038716,4.187318717860606,233,65.92331627512108,51,1.2926140446102172
23885,7.3595900225175095,3.6411282490504755,1.8748477260325072,95,29.688724617236236,30,0.9896241539078745
23886,8.116800950396883,2.910731499234007,4.4639223196841185,204,61.905375456867255,46,1.3457690316710273
23887,8.175739467845442,3.68675890430543,4.376624360461934,246,66.33171452903184,53,1.2515417835666385
23888,7.4276917484907905,3.039206945714142,3.948387425227904,195,58.915215083645634,44,1.3389821609919463
23889,7.965835806783334,3.386049584815888,3.540749596724903,186,40.07415450287849,47,0.8526415851676276
23890,8.447567345603325,2.857018167522975,2.579727931177251,124,18.313007686952904,37,0.49494615370142986
23891,7.989990422647386,2.447609024132378,1.8826325636788355,78,16.70424119684186,28,0.5965800427443522
23892,7.951602105315096,3.3766795173964597,6.617156962747054,363,89.5891634183662,56,1.599806489613682
23893,8.035244699910914,3.490522848574193,6.305235322806283,324,65.19079619996339,55,1.1852872036356978
23894,8.084183967657397,3.2150597562660588,6.509858942491238,334,62.640887440568804,54,1.1600164340846075
23895,8.49731277852549,3.3886789369578927,5.987372023720268,323,63.54341265452285,55,1.155334775536779
23896,7.408451086521207,3.0986813574196224,3.53357099777617,179,39.6120455951051,42,0.9431439427405977
23897,8.35304696557045,3.706233390093207,5.237567451372996,297,61.91109992391286,57,1.086159647787945
23898,8.123358480097519,4.2256597870170625,5.67503147544597,356,87.80069951448586,63,1.393661897055331
23899,8.027426019612268,3.017637945464366,7.51247506977927,374,50.60823308905467,49,1.0328210834500953
23900,7.666773628547457,3.8295323694681427,7.424743033709241,435,86.62113499537784,61,1.420018606481604
23901,8.705985102145869,2.9041240830453394,1.4602256705469765,73,16.230512966691194,26,0.624250498718892
23902,7.855581560034131,3.941202173582335,3.8374950319467467,224,48.13123359702614,58,0.8298488551211404
23903,8.519362202503892,5.1589018734236864,0.5332010895584113,36,13.825446142140112,25,0.5530178456856045
23904,8.18863599056116,3.3505425400241546,6.853402931492098,363,66.57914587608197,51,1.3054734485506267
23905,6.937717043145679,3.2379339985709104,6.068195340985494,321,84.68997336141176,51,1.660587712968858
23906,7.564948004727486,3.0872663665183158,6.080851152675692,295,59.79411782914944,50,1.1958823565829888
23907,8.150358210330975,3.583967620459351,5.7095413688621885,309,51.22568752111503,53,0.9665224060587742
23908,7.726477750300382,3.4270599580132015,1.9325184371875985,107,20.60838383516553,35,0.5888109667190151
23942,8.61383374994891,3.2656022878098447,2.348711359531641,131,33.140216622515325,36,0.920561572847648
23943,10.56337084690053,2.8736184047979494,0.7086929201400821,36,9.922356488903173,19,0.5222292888896407
23944,8.157416431133589,3.875586093088153,5.1859660384809745,297,66.76011064573284,57,1.1712300113286462
23945,7.906421566576581,3.152952629693358,3.6505290492748217,191,40.28219733410181,45,0.895159940757818
23946,8.453756442404119,2.813519543472404,6.435034685246411,300,49.13099566494313,47,1.0453403332966622
23947,7.930028704675552,3.425605223199215,5.31693112844821,277,74.60123453686754,51,1.4627693046444614
23948,7.822884033674186,3.410570855825298,5.389405499900693,291,55.44990181279337,53,1.0462245625055353
23949,9.03540603924198,4.199788258518258,0.516927208139002,34,11.971205436265103,19,0.6300634440139529
23950,8.115106551951097,2.974508290114309,7.249191017130358,363,81.11312619916652,49,1.6553699224319698
23951,7.785783695773738,3.529216494283346,7.455676202243803,408,78.80343871332772,56,1.407204262737995
23952,7.830733021771757,3.6343295194398393,6.224517623447897,344,75.49564065912168,52,1.4518392434446477
