run,mean,std_dev,amplitude,nevents
24092,9.17644,2.20426,204.58408,5482
24093,9.13555,2.24894,187.18913,5118
24094,9.14834,2.28323,174.99448,4848
24095,9.17100,2.31182,78.69369,2204
24096,9.22754,2.31316,25.04022,704
24097,9.12370,2.52667,11.15513,341
24098,8.90978,2.43517,146.05368,4332
24099,8.94140,2.42652,155.06453,4585
24100,8.96417,2.45666,130.00186,3878
24101,8.97375,2.47286,146.04957,4398
24103,9.01242,2.38725,83.67925,2432
24104,8.91508,2.48110,195.42718,5935
24110,9.08192,2.43778,134.05569,3979
24111,9.02322,2.38302,140.10417,4052
24112,8.98257,2.36091,159.37287,4604
24113,8.89794,2.39048,68.81088,1997
24116,9.03828,2.37812,132.05551,3809
24117,9.11728,2.34619,135.63909,3855
24120,9.01549,2.36154,231.20411,6643
24121,9.03068,2.32124,220.32322,6213
24122,9.05072,2.32773,204.25822,5790
24123,9.04174,2.38810,187.25904,5432
24125,8.96995,2.29938,49.89110,1402
24126,9.00785,2.37153,203.08936,5860
24127,9.01165,2.32990,185.18146,5242
24128,9.09249,2.40912,225.95580,6603
24129,8.99677,2.30961,209.07503,5887
24130,9.09023,2.29274,207.55039,5784
24131,9.16751,2.30959,178.43198,5011
24132,9.18621,2.25587,136.45513,3746
24133,9.11380,2.15027,198.06722,5201
24134,9.04935,2.29645,94.77829,2638
24135,8.86243,2.43327,22.78795,670
24138,8.99799,2.35630,287.36845,8230
24139,9.12827,2.38822,300.62159,8729
24140,9.01372,2.40965,314.72659,9191
24141,9.01409,2.37123,308.18366,8887
24144,9.06109,2.38903,215.68514,6270
24145,8.94794,2.40938,207.97171,6092
24146,8.98670,2.31399,203.15083,5728
24147,9.01616,2.38073,217.84398,6298
24150,9.13083,2.26639,203.94275,5609
24151,9.06581,2.23689,205.30990,5597
24153,9.11776,2.24603,195.28624,5325
24155,9.10558,2.27968,185.71064,5130
24156,9.06637,2.23365,94.57701,2573
24157,8.98862,2.21927,22.28837,606
24158,8.94232,2.40188,163.62283,4789
24159,9.03660,2.43140,155.77464,4631
24160,8.93062,2.43534,159.08052,4731
24161,8.93549,2.49306,148.58866,4521
24162,9.04051,2.43181,177.69870,5235
24163,8.99549,2.34821,184.50871,5292
24164,8.94126,2.36037,178.84238,5146
24165,8.96776,2.37583,208.44061,6012
24166,8.94061,2.40797,55.13722,1615
24167,8.96339,2.36443,186.01419,5348
24168,9.01341,2.37151,203.07490,5852
24169,8.97159,2.39335,200.07761,5809
24170,8.94067,2.32675,195.20008,5546
24171,8.93393,2.34548,118.30896,3371
24172,8.89859,2.42433,147.57773,4346
24173,8.98179,2.40234,159.13066,4649
24174,8.97858,2.37195,202.05127,5817
24175,8.95491,2.37870,189.23918,5475
24176,8.90952,2.40173,192.96795,5661
24177,8.98471,2.39765,170.36594,4963
24178,9.01429,2.26861,160.94260,4442
24179,9.11432,2.32826,185.39861,5230
24185,8.96313,2.37944,150.09191,4409
24187,9.29624,2.50901,4.53799,138
24188,8.66500,2.54749,6.63679,205
24189,8.96353,2.21480,5.58091,149
24190,9.30950,2.08206,6.85241,172
24191,9.22423,1.87158,6.40807,147
24192,9.56551,1.97456,6.70829,162
24193,9.51046,2.08497,6.34038,164
24194,9.33015,2.17386,6.26110,164
24195,8.99438,1.74431,8.08651,176
24196,8.79566,1.52022,4.39892,88
24197,9.12439,3.02814,0.72071,27
24200,10.15103,2.42661,2.74807,81
24201,9.42520,2.36259,11.76898,333
24203,9.13331,2.44247,17.45596,519
24204,8.94199,2.15886,5.26153,136
24206,9.60546,2.28129,1.79008,49
24207,9.48537,2.57751,5.69331,175
24208,9.13327,2.27832,6.64328,187
24210,9.44201,2.50316,4.13281,127
24211,9.76646,2.53542,4.55305,138
24213,8.99909,2.24882,52.36483,1445
24214,8.98076,2.42279,39.63626,1171
24215,8.97698,2.40069,53.25184,1556
24216,9.00409,2.51686,55.82815,1710
24217,9.02411,2.30003,54.88501,1548
24218,8.98659,2.47029,48.55158,1459
24219,9.24534,2.34236,27.27740,777
24220,9.02261,2.26637,7.76389,214
24222,8.97212,2.20796,29.04425,783
24223,8.93410,2.55200,13.82208,440
24224,9.19773,2.23853,27.60000,747
24225,9.32483,2.43645,9.88121,288
24226,9.10818,2.28191,28.80136,795
24227,9.18157,2.07408,39.54996,1001
24228,8.96388,2.23958,26.41954,719
24229,9.31024,1.98216,17.18008,418
24230,9.33714,1.94369,5.38875,131
24232,9.10425,2.43186,7.74180,228
24233,9.14752,2.29816,7.52691,209
24234,9.11584,2.29604,8.41275,236
24236,8.90391,2.39910,33.03013,966
24237,8.98727,2.32335,30.35565,859
24238,9.10220,2.30056,35.94363,1005
24239,8.89985,2.21233,36.30326,980
24240,9.09034,2.44902,36.68003,1088
24241,8.90488,2.11009,11.63155,306
24243,9.07068,2.22887,18.44607,500
24244,9.08643,2.36201,22.48933,644
24245,9.15730,2.23930,25.31974,687
24246,9.03642,2.30356,22.90738,645
24247,8.81697,2.25317,20.42351,567
24248,8.91798,2.47797,21.45662,646
24250,9.04112,2.50710,47.76537,1455
24251,9.03692,2.52405,48.42735,1482
24252,9.10433,2.37739,53.34042,1549
24253,8.95965,2.30140,55.17391,1553
24254,9.03447,2.45097,52.68514,1569
24255,8.98806,2.42782,51.50361,1524
24257,9.06964,2.17819,30.74736,816
24258,9.14769,2.10338,29.06770,747
24259,9.25981,2.32875,26.24741,735
24260,9.01147,2.23003,25.52049,690
24261,9.09963,2.42345,18.65440,545
24262,9.04131,2.45324,21.17325,634
24263,9.31478,2.18616,14.17701,378
24264,9.00101,1.96935,5.14633,125
24266,9.13304,2.31057,25.23275,711
24267,8.62222,2.30249,7.12838,203
24268,9.03223,2.17044,8.89709,236
24269,8.91426,1.88327,8.82970,207
24270,9.04312,2.32973,31.34276,888
24271,8.99933,2.28634,32.23410,899
24273,9.15368,2.20999,37.73517,1015
24274,9.15791,2.26047,36.67306,1005
24275,8.91293,2.43735,34.08232,1013
24276,8.97188,2.52464,9.63688,294
24277,8.96637,2.41678,23.79121,701
24278,9.15131,2.37664,25.10235,726
