run,mean,std_dev,amplitude,nevents
24089,10.26808,3.65301,73.75290,3445
24091,10.60738,3.91047,58.47685,2846
24092,10.44567,3.75424,92.17136,4362
24093,10.36155,3.71921,88.68903,4178
24094,10.31708,3.64873,84.89850,3937
24095,9.63836,3.15902,44.29081,1872
24096,9.38035,3.34636,14.78289,638
24097,9.89691,3.46048,6.11107,267
24098,10.27701,3.56139,77.67181,3510
24099,10.17759,3.71773,80.01475,3768
24100,10.00801,3.57071,68.66802,3151
24101,10.19543,3.55664,78.69594,3583
24103,9.93023,3.36071,47.58728,2075
24104,9.99126,3.46055,107.71456,4840
24110,10.17236,3.55191,71.92765,3269
24111,10.29992,3.73755,70.29900,3311
24112,10.39791,3.74889,79.85109,3766
24113,9.91782,3.45554,38.58224,1718
24116,10.27870,3.54221,67.28052,3031
24117,10.36885,3.72601,66.24847,3134
24120,10.34634,3.67387,115.60152,5383
24121,10.18461,3.54759,109.19026,4968
24122,10.49794,3.67452,101.31483,4718
24123,10.33321,3.59902,94.22524,4339
24125,9.63560,3.12710,29.34352,1218
24126,10.45990,3.69236,100.22700,4675
24127,10.37831,3.53613,92.46270,4184
24128,10.40543,3.74510,110.68305,5252
24129,10.39063,3.70248,98.49134,4624
24130,10.30683,3.60864,100.35935,4608
24131,10.27266,3.53517,88.49139,4023
24132,10.20566,3.66860,64.98927,3040
24133,10.22997,3.59777,89.82861,4129
24134,9.77072,3.32935,51.87806,2235
24135,9.95335,3.57736,12.98735,588
24138,10.60504,3.92764,130.82919,6421
24139,10.58617,3.73004,144.11212,6758
24140,10.55048,3.73076,151.32213,7127
24141,10.57322,3.75712,146.30249,6909
24144,10.74303,3.84698,102.89884,4903
24145,10.38122,3.64832,104.62674,4852
24146,10.42198,3.65684,97.50431,4512
24147,10.34889,3.67219,105.09874,4907
24150,10.32635,3.79185,92.69916,4448
24151,10.31334,3.65531,97.19841,4509
24153,10.32711,3.63319,93.34738,4300
24155,10.42797,3.68569,88.52723,4134
24156,9.80118,3.33192,50.20924,2180
24157,8.98868,2.53025,15.02568,546
24158,10.12819,3.53929,87.36262,3954
24159,10.14154,3.44367,84.87982,3770
24160,10.10243,3.68831,82.18110,3846
24161,10.28494,3.53921,81.83381,3704
24162,10.13234,3.53347,92.22477,4202
24163,10.17680,3.76217,89.54002,4281
24164,10.33803,3.64539,90.20452,4168
24165,10.22309,3.60964,107.23204,4920
24166,9.68745,3.28685,32.89168,1421
24167,10.31903,3.72419,90.90643,4272
24168,10.23448,3.64497,100.77140,4692
24169,10.13903,3.57081,100.69475,4620
24170,10.33260,3.68493,95.32787,4454
24171,10.16881,3.60087,59.18916,2727
24172,9.97355,3.49659,79.52946,3564
24173,10.28582,3.70831,78.93859,3710
24174,10.46266,3.70680,100.29887,4677
24175,10.10915,3.54372,96.71979,4398
24176,10.26007,3.71304,96.51786,4562
24177,10.25201,3.60077,86.38228,3951
24178,10.14242,3.53623,79.03014,3594
24179,10.23713,3.71475,90.49229,4264
24185,10.12028,3.52190,78.01374,3531
24187,8.78553,2.51798,3.48962,129
24188,9.61883,3.50066,4.25062,189
24189,8.72209,3.06704,3.28431,135
24190,8.63530,2.92908,4.07204,161
24191,8.82317,2.55844,3.95125,140
24192,8.99690,2.66675,4.25041,157
24193,9.60220,2.84048,3.94764,154
24194,8.81729,3.22482,3.47696,150
24195,8.76122,2.99125,3.99199,166
24196,8.85208,3.39264,1.95663,84
24197,8.25100,3.78110,0.56789,27
24200,10.03652,2.82014,1.93443,72
24201,9.96652,3.88847,6.28406,305
24203,9.27419,3.19935,11.02210,470
24204,9.34723,3.05680,3.27990,133
24206,9.85184,3.35634,1.11908,48
24207,9.23575,3.27754,3.99840,168
24208,9.14995,3.31528,4.03362,176
24210,9.01304,2.71335,3.27264,122
24211,9.82416,3.23119,3.14170,132
24213,9.77354,3.76217,26.29485,1262
24214,9.68871,3.52141,22.42921,1024
24215,9.83305,3.79167,27.75629,1334
24216,9.81329,3.86627,29.73593,1462
24217,10.02493,3.93653,27.17638,1339
24218,9.46103,3.64072,27.08338,1270
24219,9.07245,3.51654,14.94621,691
24220,9.18201,3.66289,4.47474,208
24222,9.28957,3.44031,15.34446,685
24223,9.53391,3.69073,8.93984,421
24224,9.62059,3.69902,14.21764,660
