run,mean,std_dev,amplitude,nevents,chi2,ndf,chi2_ndf
23861,8.591870596782808,3.2016902751896574,11.933782651472864,619,60.41973014086257,51,1.1847005909973052
23862,8.650023049529256,3.3879281369377994,12.618985442865327,676,72.15511196167441,55,1.3119111265758983
23864,8.951074614848917,3.294120459670051,12.073448638683951,627,53.65322280931866,52,1.0317927463330512
23865,8.892054990649802,2.9234255868734413,7.6471722476171795,380,68.27108049715959,51,1.3386486371992077
23866,8.98262553879147,3.672997656297435,4.046111658516995,241,53.84873499248624,57,0.9447146489909867
23867,8.511324396692737,3.3593243420085104,9.863159598752754,546,57.93849383394624,50,1.1587698766789247
23868,8.608386432926542,3.098719336246647,10.949073796320015,561,67.05695695839022,50,1.3411391391678043
23876,9.25352818370503,3.3764302535661734,1.0495321698016167,58,12.221880033695403,29,0.4214441390929449
23878,10.169822324432845,4.6182319921789095,0.5757043168858696,39,12.420184354722283,26,0.47769939825854935
23879,7.488719218786264,3.931640855685761,0.6205578159955614,33,13.97459880765837,20,0.6987299403829186
23880,7.979595455073848,2.5437088803614447,0.5743756500985915,25,10.436591004973758,11,0.9487810004521599
23881,6.135049091680229,2.5587454491055044,0.743886537577929,32,7.354680742812371,16,0.4596675464257732
23882,8.971547004261469,1.895563432409739,1.1639870901090896,38,7.681778256450968,15,0.5121185504300645
23883,8.863373512697333,3.7869267238433655,0.6806958303386265,40,12.182413460991857,21,0.580114926713898
23884,4.851099652400945,1.6818362945658127,1.2084793083754448,42,8.790682859306436,17,0.517098991723908
23885,4.123216032261571,0.4411836685508076,1.7561889591246793,22,9.306314907647366,8,1.1632893634559207
23886,7.339879049652957,1.9198665263757821,1.0426383454812687,32,5.918144947970603,17,0.3481261734100355
23887,8.663062458436263,2.9139796508155706,1.0084111226781252,48,9.277225236521506,24,0.3865510515217294
23888,8.642655542660515,3.617039636518852,0.6195035392065498,34,10.35682080519475,20,0.5178410402597375
23889,7.253650149218246,3.7420171141573424,0.8042744404571416,46,12.412169688352636,24,0.5171737370146932
23890,8.485044224673914,2.4830820921217374,0.5421449953634966,20,8.835381234732484,7,1.2621973192474978
