bin_center,ratio,ratio_err,variable
0.465,1.037596,0.059851,z
0.475,0.73331,0.035865,z
0.485,0.746316,0.035218,z
0.495,0.750967,0.034782,z
0.505,0.674767,0.033601,z
0.515,0.68413,0.03369,z
0.525,0.645508,0.034225,z
0.535,0.677568,0.035241,z
0.545,0.682312,0.035119,z
0.555,0.748895,0.037252,z
0.565,0.728092,0.036897,z
0.575,0.701003,0.038045,z
0.585,0.745101,0.03875,z
0.595,0.691156,0.038732,z
0.605,0.669303,0.039234,z
0.615,0.713669,0.040104,z
0.625,0.48012,0.039479,z
0.635,0.274277,0.049489,z
0.45,1.054574,0.238175,$\theta_{pq}$
0.55,1.222004,0.184871,$\theta_{pq}$
0.65,0.951688,0.145586,$\theta_{pq}$
0.75,0.939177,0.124553,$\theta_{pq}$
0.85,0.945352,0.110587,$\theta_{pq}$
0.95,0.740759,0.096589,$\theta_{pq}$
1.05,0.863572,0.088387,$\theta_{pq}$
1.15,0.820243,0.081893,$\theta_{pq}$
1.25,0.640078,0.070027,$\theta_{pq}$
1.35,0.758368,0.067381,$\theta_{pq}$
1.45,0.672621,0.062735,$\theta_{pq}$
1.55,0.68549,0.058146,$\theta_{pq}$
1.65,0.669387,0.055929,$\theta_{pq}$
1.75,0.682506,0.053234,$\theta_{pq}$
1.85,0.689003,0.051583,$\theta_{pq}$
1.95,0.643828,0.049952,$\theta_{pq}$
2.05,0.692472,0.047608,$\theta_{pq}$
2.15,0.65468,0.046767,$\theta_{pq}$
2.25,0.669789,0.046477,$\theta_{pq}$
2.35,0.611487,0.044615,$\theta_{pq}$
2.45,0.705066,0.044919,$\theta_{pq}$
2.55,0.620684,0.043665,$\theta_{pq}$
2.65,0.631973,0.042153,$\theta_{pq}$
2.75,0.692188,0.042765,$\theta_{pq}$
2.85,0.683384,0.042808,$\theta_{pq}$
2.95,0.727576,0.044345,$\theta_{pq}$
3.05,0.677311,0.043763,$\theta_{pq}$
3.15,0.725117,0.044233,$\theta_{pq}$
3.25,0.711297,0.04584,$\theta_{pq}$
3.35,0.695435,0.046598,$\theta_{pq}$
3.45,0.633084,0.047275,$\theta_{pq}$
3.55,0.705485,0.051173,$\theta_{pq}$
3.65,0.751958,0.054746,$\theta_{pq}$
3.75,0.801075,0.060123,$\theta_{pq}$
3.85,0.729921,0.066657,$\theta_{pq}$
3.95,0.729324,0.073892,$\theta_{pq}$
4.05,0.789312,0.083525,$\theta_{pq}$
4.15,0.812929,0.103889,$\theta_{pq}$
4.25,0.532644,0.116767,$\theta_{pq}$
4.35,1.096826,0.180223,$\theta_{pq}$
0.025,1.304824,0.215221,$p_T$
0.035,1.13167,0.147772,$p_T$
0.045,0.935789,0.110221,$p_T$
0.055,0.872608,0.087688,$p_T$
0.065,0.917988,0.076881,$p_T$
0.075,0.703902,0.066353,$p_T$
0.085,0.713287,0.055851,$p_T$
0.095,0.654161,0.049432,$p_T$
0.105,0.686154,0.046335,$p_T$
0.115,0.723478,0.044453,$p_T$
0.125,0.720882,0.040553,$p_T$
0.135,0.653883,0.03901,$p_T$
0.145,0.693567,0.03792,$p_T$
0.155,0.612759,0.035502,$p_T$
0.165,0.680617,0.036447,$p_T$
0.175,0.665187,0.035067,$p_T$
0.185,0.668872,0.034949,$p_T$
0.195,0.635498,0.035794,$p_T$
0.205,0.684753,0.03696,$p_T$
0.215,0.685084,0.038885,$p_T$
0.225,0.739923,0.041092,$p_T$
0.235,0.753926,0.045739,$p_T$
0.245,0.770968,0.048817,$p_T$
0.255,0.773551,0.057377,$p_T$
0.265,0.750557,0.063032,$p_T$
0.275,0.895411,0.074678,$p_T$
0.285,0.854595,0.08698,$p_T$
0.295,0.7891,0.101418,$p_T$
0.305,1.038078,0.140759,$p_T$
0.315,0.901528,0.175857,$p_T$
0.325,0.566741,0.205205,$p_T$
1.7453,1.420781,0.208898,$\phi_{pq}$
1.8451,1.157894,0.13687,$\phi_{pq}$
1.9448,0.902679,0.102666,$\phi_{pq}$
2.0445,0.766644,0.079123,$\phi_{pq}$
2.1443,0.758321,0.065259,$\phi_{pq}$
2.244,0.783315,0.059023,$\phi_{pq}$
2.3437,0.652103,0.051498,$\phi_{pq}$
2.4435,0.669354,0.046712,$\phi_{pq}$
2.5432,0.681284,0.043976,$\phi_{pq}$
2.6429,0.640404,0.041967,$\phi_{pq}$
2.7427,0.738915,0.040919,$\phi_{pq}$
2.8424,0.658945,0.041137,$\phi_{pq}$
2.9421,0.6648,0.039186,$\phi_{pq}$
3.0419,0.638091,0.038074,$\phi_{pq}$
3.1416,0.671581,0.039619,$\phi_{pq}$
3.2413,0.664819,0.039357,$\phi_{pq}$
3.3411,0.72124,0.03957,$\phi_{pq}$
3.4408,0.697864,0.038429,$\phi_{pq}$
3.5405,0.638073,0.037134,$\phi_{pq}$
3.6403,0.694188,0.038726,$\phi_{pq}$
3.74,0.710758,0.039986,$\phi_{pq}$
3.8397,0.656416,0.040483,$\phi_{pq}$
3.9395,0.684161,0.043123,$\phi_{pq}$
4.0392,0.678184,0.047414,$\phi_{pq}$
4.1389,0.776933,0.056652,$\phi_{pq}$
4.2387,0.776478,0.064083,$\phi_{pq}$
4.3384,0.806249,0.085111,$\phi_{pq}$
4.4381,0.638802,0.104685,$\phi_{pq}$
4.5379,1.254741,0.164606,$\phi_{pq}$
4.6376,1.354738,0.243393,$\phi_{pq}$
