bin_center,ratio,ratio_err,variable,pt_bin_center
0.625,1.789207,0.184392,z,0.05
0.635,1.210411,0.10643,z,0.05
0.645,1.16569,0.08076,z,0.05
0.655,0.924871,0.067121,z,0.05
0.665,0.937913,0.067209,z,0.05
0.675,1.015168,0.073565,z,0.05
0.685,1.051,0.077712,z,0.05
0.695,1.068597,0.080433,z,0.05
0.705,0.882757,0.0766,z,0.05
0.715,0.843289,0.080822,z,0.05
0.725,0.931519,0.086295,z,0.05
0.735,1.109471,0.100048,z,0.05
0.745,1.054761,0.099558,z,0.05
0.755,0.899293,0.095664,z,0.05
0.765,1.058856,0.116202,z,0.05
0.775,1.066429,0.111341,z,0.05
0.785,1.121805,0.125282,z,0.05
0.795,1.219994,0.134935,z,0.05
0.805,1.293452,0.149333,z,0.05
0.815,1.230725,0.149456,z,0.05
0.825,1.320233,0.172729,z,0.05
0.835,1.339109,0.186053,z,0.05
0.845,1.091789,0.197475,z,0.05
0.875,0.803186,0.24808,z,0.05
0.15,1.357873,0.184233,$\theta_{pq}$,0.05
0.25,1.336997,0.133688,$\theta_{pq}$,0.05
0.35,1.032684,0.099782,$\theta_{pq}$,0.05
0.45,1.165053,0.083511,$\theta_{pq}$,0.05
0.55,1.057574,0.076228,$\theta_{pq}$,0.05
0.65,1.264284,0.070921,$\theta_{pq}$,0.05
0.75,1.140842,0.065636,$\theta_{pq}$,0.05
0.85,1.064533,0.056511,$\theta_{pq}$,0.05
0.95,1.038913,0.051974,$\theta_{pq}$,0.05
1.05,0.91179,0.051157,$\theta_{pq}$,0.05
1.15,0.983407,0.059072,$\theta_{pq}$,0.05
1.25,1.057851,0.092692,$\theta_{pq}$,0.05
0.015,1.125959,0.146445,$p_T$,0.05
0.025,1.325056,0.10978,$p_T$,0.05
0.035,1.121476,0.084556,$p_T$,0.05
0.045,1.145059,0.073311,$p_T$,0.05
0.055,1.129454,0.065175,$p_T$,0.05
0.065,1.071061,0.058032,$p_T$,0.05
0.075,1.046397,0.051717,$p_T$,0.05
0.085,1.028686,0.045855,$p_T$,0.05
0.095,0.997389,0.042341,$p_T$,0.05
1.4461,1.017893,0.238951,$\phi_{pq}$,0.05
1.5459,1.86815,0.239401,$\phi_{pq}$,0.05
1.6456,1.473486,0.227144,$\phi_{pq}$,0.05
1.7453,0.835729,0.162961,$\phi_{pq}$,0.05
1.8451,1.082164,0.164178,$\phi_{pq}$,0.05
1.9448,1.150389,0.149956,$\phi_{pq}$,0.05
2.0445,1.012156,0.144361,$\phi_{pq}$,0.05
2.1443,0.94616,0.12678,$\phi_{pq}$,0.05
2.244,1.42202,0.148588,$\phi_{pq}$,0.05
2.3437,1.076659,0.121717,$\phi_{pq}$,0.05
2.4435,1.001432,0.10365,$\phi_{pq}$,0.05
2.5432,0.837138,0.107314,$\phi_{pq}$,0.05
2.6429,0.996031,0.105089,$\phi_{pq}$,0.05
2.7427,0.972576,0.099366,$\phi_{pq}$,0.05
2.8424,1.016865,0.09876,$\phi_{pq}$,0.05
2.9421,0.881303,0.09829,$\phi_{pq}$,0.05
3.0419,0.798329,0.099838,$\phi_{pq}$,0.05
3.1416,0.947944,0.092182,$\phi_{pq}$,0.05
3.2413,0.873924,0.090523,$\phi_{pq}$,0.05
3.3411,0.923559,0.107682,$\phi_{pq}$,0.05
3.4408,0.883299,0.096781,$\phi_{pq}$,0.05
3.5405,1.071108,0.105174,$\phi_{pq}$,0.05
3.6403,1.125462,0.104346,$\phi_{pq}$,0.05
3.74,1.115301,0.107341,$\phi_{pq}$,0.05
3.8397,1.029128,0.113819,$\phi_{pq}$,0.05
3.9395,0.983183,0.115203,$\phi_{pq}$,0.05
4.0392,1.068728,0.121095,$\phi_{pq}$,0.05
4.1389,0.884445,0.125949,$\phi_{pq}$,0.05
4.2387,0.971561,0.13537,$\phi_{pq}$,0.05
4.3384,1.362249,0.155389,$\phi_{pq}$,0.05
4.4381,0.977532,0.133443,$\phi_{pq}$,0.05
4.5379,1.161836,0.178128,$\phi_{pq}$,0.05
4.6376,1.238296,0.181523,$\phi_{pq}$,0.05
4.7373,1.296884,0.216615,$\phi_{pq}$,0.05
4.8371,1.333698,0.234943,$\phi_{pq}$,0.05
5.1363,1.165376,0.236538,$\phi_{pq}$,0.05
0.605,1.426946,0.128881,z,0.15
0.615,0.998604,0.064043,z,0.15
0.625,0.990176,0.049383,z,0.15
0.635,0.887024,0.039871,z,0.15
0.645,0.883632,0.034663,z,0.15
0.655,0.830041,0.032911,z,0.15
0.665,0.845374,0.033968,z,0.15
0.675,0.791015,0.032876,z,0.15
0.685,0.784471,0.035151,z,0.15
0.695,0.762601,0.034257,z,0.15
0.705,0.822905,0.036923,z,0.15
0.715,0.817703,0.037761,z,0.15
0.725,0.897157,0.041819,z,0.15
0.735,0.855638,0.043395,z,0.15
0.745,0.862225,0.044399,z,0.15
0.755,0.998402,0.049064,z,0.15
0.765,0.835729,0.048954,z,0.15
0.775,0.862107,0.050756,z,0.15
0.785,0.904793,0.056711,z,0.15
0.795,1.00672,0.059189,z,0.15
0.805,1.095814,0.063827,z,0.15
0.815,1.075615,0.066849,z,0.15
0.825,1.053018,0.074353,z,0.15
0.835,1.087367,0.080617,z,0.15
0.845,1.124574,0.097865,z,0.15
0.855,1.357168,0.126254,z,0.15
0.865,0.923336,0.137684,z,0.15
0.875,0.880796,0.211597,z,0.15
1.05,1.090564,0.113711,$\theta_{pq}$,0.15
1.15,1.092686,0.064513,$\theta_{pq}$,0.15
1.25,0.884487,0.042853,$\theta_{pq}$,0.15
1.35,0.907641,0.037199,$\theta_{pq}$,0.15
1.45,0.916363,0.035416,$\theta_{pq}$,0.15
