run,target,normyield,channel,sample_idx,begin,duration,eventCount,updateCount,integration,max,mean,min,rms,stdev,BCM2,EL_CLEAN
24187,LH2,20.6077,hcL2_Fan_Freq_R,999,2025-07-25T10:03:00,1980,916,914,73925.21218,44.5,37.2565,27.5,37.256,2.22523,75.737,1523490.0
24188,LH2,20.3368,hcL2_Fan_Freq_R,999,2025-07-25T10:37:00,1920,911,909,77576.88625,49,40.4055,27.5,40.4055,2.64322,80.713,1623872.0
24189,LH2,19.5467,hcL2_Fan_Freq_R,999,2025-07-25T11:09:00,2700,1243,1241,104119.8442,47,38.8076,28.5,38.71552895,2.93658,73.422,1475152.0
24190,LH2,19.3936,hcL2_Fan_Freq_R,999,2025-07-25T11:54:00,1860,875,873,74443.01501,47.5,40.0233,32,40.10253205,2.457016733,81.653,1641583.0
24191,LH2,19.5963,hcL2_Fan_Freq_R,999,2025-07-25T12:25:00,2220,1045,1043,89365.98645,50,40.2543,28,40.38208003,3.083646391,70.989,1431392.0
24192,LH2,19.9587,hcL2_Fan_Freq_R,999,2025-07-25T13:02:00,1860,838,836,62580.89453,39,33.6464,24.5,33.67832114,1.475077298,79.901,1592943.0
24193,LH2,19.9193,hcL2_Fan_Freq_R,999,2025-07-25T13:33:00,2100,965,963,69226.93309,39,32.9648,13,33.05649007,2.083529966,71.283,1423299.0
24194,LH2,19.4367,hcL2_Fan_Freq_R,999,2025-07-25T14:08:00,1920,855,853,64181.80496,39,33.427,24.5,33.47001319,1.644679372,78.62,1566688.0
24195,LH2,19.5651,hcL2_Fan_Freq_R,999,2025-07-25T14:40:00,2100,967,965,70438.11966,39,33.5419,24,33.59985163,1.784733743,81.907,1639390.0
