run,pmt,nevents,calibration_constant,calibration_error,chi2,chi2_ndf
23839,3,2645,5.299010369575437,0.21692793049348574,95.79269630602171,1.2440609909872948
23839,4,5793,5.952752856638261,0.35204595833101543,368.0039981476577,4.779272703216334
23840,3,7649,5.037368068546455,0.10671405557606468,118.5741058673422,1.539923452822626
23840,4,17060,5.892760312933009,0.3274639509297111,954.6047152524737,12.397463834447711
23841,3,1961,5.15774522035657,0.21902834649981923,62.95678277651072,0.8176205555391003
23841,4,4392,6.4686663834531295,0.3621267314592235,230.8645373850078,2.9982407452598414
23842,3,3271,5.1949235895816654,0.1524535921445282,142.36733331342268,1.848926406667827
23842,4,7356,6.345341040257352,0.3734383118829694,378.4384394192516,4.914784927522748
23844,3,6310,4.960445555550202,0.11734041802025627,674.2394504909112,8.756356499881964
23844,4,14149,5.957499280889561,0.33975909350315814,814.7548488281869,10.581231802963467
23845,3,5584,5.115388720861129,0.10580028658248962,79.78772740211282,1.0362042519754913
23845,4,12650,6.2050366780543555,0.35791254300740205,629.1901341191884,8.171300443106343
23846,3,7319,5.224954627218008,0.14276606993196075,98.95689578119699,1.285154490664896
23846,4,16064,6.310188075504648,0.34973805819581444,804.602106030617,10.449378000397624
23847,3,5600,5.135963604241633,0.10162522209094493,65.16251131248212,0.846266380681586
23847,4,12673,6.192387590961561,0.33453215314944373,588.1361187033095,7.638131411731293
23848,3,4494,5.307337562227368,0.1346934343397903,1232.452719456978,16.005879473467246
23848,4,9921,6.090129478311789,0.34608108090988277,491.61643329481967,6.3846290038288265
23849,1,78,4.3368807104151745,0.9725324190070161,207.3474711134984,2.6928243001753036
23849,2,99,5.691737735933551,0.7712218719890295,44.966656644997336,0.5839825538311343
23849,3,568,4.345506564495187,0.3543322085168923,164.2079538041586,2.132570828625436
23849,4,1970,5.853297432599523,0.3746915122198391,111.12656341294468,1.4432021222460347
23850,1,83,6.367760055314909,1.3793733285565526,61.37262642929045,0.7970470964842915
23850,2,116,5.8719060069310975,0.8808411128675855,93.47006023564063,1.213896886177151
23850,3,676,4.990674933014233,0.2858261224791678,47.738535440629406,0.6199809797484338
23850,4,2147,6.01473653223021,0.3877855831908374,141.1373385252901,1.8329524483803907
23851,1,87,4.452243074134633,0.960774145433876,4384.397636467977,56.940229045038656
23851,2,116,5.172527338610568,0.7086066006165419,243.45448803562223,3.161746597865224
23851,3,745,4.848243780238316,0.3270287327588648,65.08689692155293,0.8452843756045836
23851,4,2363,5.409731817832848,0.35316735749123124,198.02970367352975,2.571814333422464
23861,1,838,5.269224116348189,0.3400317670218617,364.2755354770463,4.7308511100915105
23861,2,2927,7.043055132081796,0.2441904807941494,91.69234937200672,1.1908097321039834
23861,3,2158,5.177887714177634,0.1808247826151581,97.4455837519325,1.2655270617134091
